review_id,suggested_action,action,match_status,match_tier,match_note,wiki_sourcePage,wiki_dynastySection,wiki_dyn_candidates,wiki_fief,fief_corrected,wiki_pn,pn_corrected,wiki_nt,wiki_person,wiki_personBare,wiki_startYear,wiki_endYear,wikidataId,wikiPersonUrl,norbert_person_id,norbert_nt_ind,norbert_can_name,norbert_dyn,norbert_fief,norbert_pn,norbert_nt,norbert_start_year,norbert_end_year,norbert_dyn_id,fill_notes,reviewer_notes
21,link,,matched,D,full NT match,平原王 (消歧義),北齊,北齊,,,,,,段韶,段韶,,,Q20041361,https://zh.wikipedia.org/wiki/%E6%AE%B5%E9%9F%B6,2560,1746,段韶,齊,平原,,王,,,94,,
22,review,,wiki_only,,no Norbert match,平原王 (消歧義),北齊,北齊,,,,,,段懿,段懿,,,Q30942797,https://zh.wikipedia.org/wiki/%E6%AE%B5%E6%87%BF,,,,,,,,,,,,
23,review,,wiki_only,,no Norbert match,平原王 (消歧義),北齊,北齊,,,,,,段寶鼎,段寶鼎,,,Q30942797,https://zh.wikipedia.org/wiki/%E6%AE%B5%E6%87%BF,,,,,,,,,,,,
24,review,,wiki_only,,no Norbert match,平原王 (消歧義),高句麗,高句麗,,,,,,高陽成,高陽成,,,Q498904,https://zh.wikipedia.org/wiki/%E5%B9%B3%E5%8E%9F%E7%8E%8B,,,,,,,,,,,,
25,insert_nt,,person_only,E,"person in Norbert, no matching NT row",平原王 (消歧義),隋朝,隋,,,,,,楊裕,楊裕,,,,https://zh.wikipedia.org/wiki/%E6%9D%A8%E8%A3%95,13356,,楊裕,,,,,,,,,
26,review,,wiki_only,,no Norbert match,平原王 (消歧義),唐朝,唐,,,,,,李白駒,李白駒,,,,https://zh.wikipedia.org/wiki/%E6%9D%8E%E7%99%BD%E9%A9%B9,,,,,,,,,,,,
27,review,,wiki_only,,no Norbert match,平原王 (消歧義),唐朝,唐,,,,,,李伸,李伸,,,Q15886049,https://zh.wikipedia.org/wiki/%E6%9D%8E%E4%BC%B8,,,,,,,,,,,,
28,insert_nt,,person_only,E,"person in Norbert, no matching NT row",平原王 (消歧義),唐朝,唐,,,,,,柏良器,柏良器,,,Q10349252,https://zh.wikipedia.org/wiki/%E6%9F%8F%E8%89%AF%E5%99%A8,11346,,柏良器,,,,,,,,,
29,review,,wiki_only,,no Norbert match,平原王 (消歧義),唐朝,唐,,,,,,李寧,李寧,,,Q11073402,https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%AE%81_(%E5%94%90%E6%9C%9D),,,,,,,,,,,,
30,review,,wiki_only,,no Norbert match,平原王 (消歧義),南吳,南吳,,,,,,楊澈,楊澈,,,Q10342291,https://zh.wikipedia.org/wiki/%E6%9D%A8%E6%BE%88_(%E5%8D%81%E5%9B%BD),,,,,,,,,,,,
31,review,,wiki_only,,no Norbert match,平原王 (消歧義),宋朝,宋|北宋,,,,,,趙孝奕,趙孝奕,,,,https://zh.wikipedia.org/wiki/%E8%B5%B5%E5%AD%9D%E5%A5%95,,,,,,,,,,,,
32,review,,wiki_only,,no Norbert match,平原王 (消歧義),宋朝,宋|北宋,,,,,,趙仲綜,趙仲綜,,,,https://zh.wikipedia.org/wiki/%E8%B5%B5%E4%BB%B2%E7%BB%BC,,,,,,,,,,,,
33,review,,wiki_only,,no Norbert match,平原王 (消歧義),宋朝,宋|北宋,,,,,,韓侂冑,韓侂冑,,,Q708637,https://zh.wikipedia.org/wiki/%E9%9F%93%E4%BE%82%E5%86%91,,,,,,,,,,,,
34,insert_nt,,person_only,E,"person in Norbert, no matching NT row",平原王 (消歧義),金朝,金朝,,,,,,李石,李石,,,Q24837145,https://zh.wikipedia.org/wiki/%E6%9D%8E%E7%9F%B3_(%E9%87%91%E6%9C%9D),11266,,李石,,,,,,,,,
35,review,,wiki_only,,no Norbert match,宋少帝 (消歧義),,,,,,,,南朝,南朝,,,Q49696,https://zh.wikipedia.org/wiki/%E5%8D%97%E5%8C%97%E6%9C%9D,,,,,,,,,,,,
36,review,,wiki_only,,no Norbert match,宋少帝 (消歧義),,,,,,,,宋朝,宋朝,,,Q7462,https://zh.wikipedia.org/wiki/%E5%AE%8B%E6%9C%9D,,,,,,,,,,,,
37,review,,wiki_only,,no Norbert match,文成帝,相關項目,相關項目,文成,,,,帝,同諡號廟號列表,同諡號廟號列表,,,,https://zh.wikipedia.org/wiki/%E5%90%8C%E8%AB%A1%E5%8F%B7%E5%BB%9F%E5%8F%B7%E5%88%97%E8%A1%A8,,,,,,,,,,,,
38,update_nt,,matched,B,Norbert row incomplete,下邳王,漢朝,東漢|西漢|漢,下邳,,惠,,王,劉衍,劉衍,72,126,Q10900389,https://zh.wikipedia.org/wiki/%E5%8A%89%E8%A1%8D,6949,1194,劉衍,漢,下邳,惠,王,,,46,,
39,review,,wiki_only,,no Norbert match,下邳王,漢朝,東漢|西漢|漢,下邳,,貞,,王,劉成,劉成,126,128,,https://zh.wikipedia.org/wiki/%E5%88%98%E6%88%90_(%E4%B8%8B%E9%82%B3%E7%8E%8B),,,,,,,,,,,,
40,review,,wiki_only,,no Norbert match,下邳王,漢朝,東漢|西漢|漢,下邳,,愍,,王,劉意,劉意,128,185,Q10900390,https://zh.wikipedia.org/wiki/%E5%8A%89%E8%A1%8D_(%E4%B8%8B%E9%82%B3%E7%8E%8B),,,,,,,,,,,,
41,insert_nt,,person_only,E,"person in Norbert, no matching NT row",下邳王,漢朝,東漢|西漢|漢,下邳,,哀,,王,劉宜,劉宜,185,186,,https://zh.wikipedia.org/wiki/%E5%88%98%E5%AE%9C,105,,劉宜,,,,,,,,,
42,update_nt,,matched,C,Norbert row incomplete,下邳王,晉朝,西晉|東晉|晉,下邳,,獻,,王,司馬晃,司馬晃,,,,https://zh.wikipedia.org/wiki/%E5%8F%B8%E9%A9%AC%E6%99%83_(%E4%B8%8B%E9%82%B3%E7%8E%8B),8779,864,司馬晃,晉,下邳,,王,,,51,,
43,insert_nt,,person_only,E,"person in Norbert, no matching NT row",東海王,漢朝,東漢|西漢|漢,東海,,,,王,劉陽,劉陽,41,43,Q7271,https://zh.wikipedia.org/wiki/%E6%B1%89%E6%98%8E%E5%B8%9D,819,,劉陽,,,,,,,,,
44,update_nt,,matched,B,Norbert row incomplete,東海王,漢朝,東漢|西漢|漢,東海,,恭,,王,劉彊,劉彊,43,58,Q347788,https://zh.wikipedia.org/wiki/%E5%8A%89%E5%BD%8A,7582,1182,劉彊,漢,東海,恭,王,,,46,,
45,update_nt,,matched,D,Norbert row incomplete,東海王,漢朝,東漢|西漢|漢,東海,,靖,,王,劉政,劉政,58,102,Q10897594,https://zh.wikipedia.org/wiki/%E5%88%98%E6%94%BF_(%E4%B8%9C%E6%B5%B7%E7%8E%8B),14362,1976,劉政,漢,河閒,,王,,,42,,
46,review,,wiki_only,,no Norbert match,東海王,漢朝,東漢|西漢|漢,東海,,頃,,王,劉肅,劉肅,102,125,Q21073566,https://zh.wikipedia.org/wiki/%E5%88%98%E8%82%83,,,,,,,,,,,,
47,insert_nt,,person_only,E,"person in Norbert, no matching NT row",東海王,漢朝,東漢|西漢|漢,東海,,孝,,王,劉臻,劉臻,125,156,Q10900326,https://zh.wikipedia.org/wiki/%E5%8A%89%E8%87%BB,766,,劉臻,,,,,,,,,
48,insert_nt,,person_only,E,"person in Norbert, no matching NT row",東海王,漢朝,東漢|西漢|漢,東海,,懿,,王,劉祗,劉祗,156,200,Q10900218,https://zh.wikipedia.org/wiki/%E5%8A%89%E7%A5%97_(%E6%9D%B1%E6%B5%B7%E7%8E%8B),8725,,劉祗,,,,,,,,,
49,review,,ambiguous,D,2 Norbert candidates,東海王,漢朝,東漢|西漢|漢,崇德,,,,侯,劉羨,劉羨,200,220,Q347788,https://zh.wikipedia.org/wiki/%E5%8A%89%E5%BD%8A,1795,1153,劉羨,漢,陳,敬,王,,,46,,
50,review,,wiki_only,,no Norbert match,東海王,漢朝,東漢|西漢|漢,東海,,,,王,劉敦,劉敦,212,220,Q10899860,https://zh.wikipedia.org/wiki/%E5%8A%89%E6%95%A6,,,,,,,,,,,,
51,update_nt,,matched,B,Norbert row incomplete,東海王,曹魏,三國魏|魏,東海,,定,,王,曹霖,曹霖,232,250,Q703118,https://zh.wikipedia.org/wiki/%E6%9B%B9%E9%9C%96,10465,1632,曹霖,魏,東海,定,王,,,48,,
52,review,,wiki_only,,no Norbert match,東海王,曹魏,三國魏|魏,東海,,,,王,曹啟,曹啟,250,,Q5251290,https://zh.wikipedia.org/wiki/%E6%9B%B9%E5%95%9F,,,,,,,,,,,,
53,review,,wiki_only,,no Norbert match,東海王,西晉,西晉|晉,東海沖,,,,王,司馬祗,司馬祗,,,Q10916652,https://zh.wikipedia.org/wiki/%E5%8F%B8%E9%A6%AC%E7%A5%97,,,,,,,,,,,,
54,update_nt,,matched,C,Norbert row incomplete,東海王,西晉,西晉|晉,東海,,文獻,,王,司馬越,司馬越,,,Q985736,https://zh.wikipedia.org/wiki/%E5%8F%B8%E9%A9%AC%E8%B6%8A,8827,844,司馬越,晉,東海,,王,,,51,,
55,link,,matched,D,full NT match,東海王,南北朝,南北朝|劉宋|南齊|南梁|陳|北魏|東魏|西魏|北齊|北周,東海,,,,王,元曄,元曄,,,Q3276215,https://zh.wikipedia.org/wiki/%E5%85%83%E6%99%94,3739,2375,元曄,魏,魏,長廣,王,,,89,,
56,review,,wiki_only,,no Norbert match,中興祖,,,,,,,,孔子,孔子,,,Q4604,https://zh.wikipedia.org/wiki/%E5%AD%94%E5%AD%90,,,,,,,,,,,,
57,insert_nt,,person_only,E,"person in Norbert, no matching NT row",中興祖,,,,,,,,孟子,孟子,,,Q188903,https://zh.wikipedia.org/wiki/%E5%AD%9F%E5%AD%90,6228,,孟子,,,,,,,,,
58,review,,wiki_only,,no Norbert match,中山王,周朝,周朝,中山,,,,王,中山文公,中山文公,,,Q5428987,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%B1%B1%E6%96%87%E5%85%AC,,,,,,,,,,,,
59,review,,wiki_only,,no Norbert match,中山王,周朝,周朝,中山,,,,王,中山武公,中山武公,,,Q5428997,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%B1%B1%E6%AD%A6%E5%85%AC,,,,,,,,,,,,
60,review,,wiki_only,,no Norbert match,中山王,周朝,周朝,中山,,,,王,中山桓公,中山桓公,,,Q6419342,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%B1%B1%E6%A1%93%E5%85%AC,,,,,,,,,,,,
61,review,,wiki_only,,no Norbert match,中山王,周朝,周朝,中山,,,,王,中山成公,中山成公,,,Q10875283,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%B1%B1%E6%88%90%E5%85%AC,,,,,,,,,,,,
62,review,,wiki_only,,no Norbert match,中山王,周朝,周朝,中山,,,,王,𰯼,𰯼,,,Q6148148,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%B1%B1%E7%8E%8B%F0%B0%AF%BC,,,,,,,,,,,,
63,review,,wiki_only,,no Norbert match,中山王,周朝,周朝,中山,,,,王,𧊒,𧊒,,,Q10875301,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%B1%B1%E7%8E%8B%F0%A7%8A%92,,,,,,,,,,,,
64,review,,wiki_only,,no Norbert match,中山王,周朝,周朝,中山,,,,王,尚,尚,,,Q10875304,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%B1%B1%E7%8E%8B%E5%B0%9A,,,,,,,,,,,,
65,link,,matched,B,full NT match,中山王,漢朝,東漢|西漢|漢,中山,,靖,,王,劉勝,劉勝,,,,https://zh.wikipedia.org/wiki/%E5%88%98%E8%83%9C_(%E8%A5%BF%E6%B1%89),8657,1216,劉勝,漢,中山,靖,王,,,43,,
66,insert_nt,,person_only,E,"person in Norbert, no matching NT row",中山王,漢朝,東漢|西漢|漢,中山,,哀,,王,劉昌,劉昌,,,,https://zh.wikipedia.org/wiki/%E5%88%98%E6%98%8C_(%E4%B8%AD%E5%B1%B1%E7%8E%8B),10734,,劉昌,,,,,,,,,
