Variant,variant_cp,Variant_ABC,Variant_Block,Norm,norm_cp,Norm_ABC,Norm_Block,Sources
‧,(U+2027),Z,Other,·,(U+00B7),Z,Other,ctext
⺋,(U+2E8B),Z,CJK_Radicals_Supplement,㔾,(U+353E),Z,CJK_Extension_A,ctext
⺖,(U+2E96),Z,CJK_Radicals_Supplement,忄,(U+5FC4),Z,CJK_Unified_Ideographs,ctext
⺘,(U+2E98),Z,CJK_Radicals_Supplement,扌,(U+624C),Z,CJK_Unified_Ideographs,ctext
⺞,(U+2E9E),Z,CJK_Radicals_Supplement,歺,(U+6B7A),Z,CJK_Unified_Ideographs,ctext
⺡,(U+2EA1),Z,CJK_Radicals_Supplement,氵,(U+6C35),Z,CJK_Unified_Ideographs,ctext
⺣,(U+2EA3),Z,CJK_Radicals_Supplement,灬,(U+706C),Z,CJK_Unified_Ideographs,ctext
⺤,(U+2EA4),Z,CJK_Radicals_Supplement,爫,(U+722B),Z,CJK_Unified_Ideographs,ctext
⺨,(U+2EA8),Z,CJK_Radicals_Supplement,犭,(U+72AD),Z,CJK_Unified_Ideographs,ctext
⺩,(U+2EA9),Z,CJK_Radicals_Supplement,𤣩,(U+248E9),C,CJK_Extension_B,ctext
⺫,(U+2EAB),Z,CJK_Radicals_Supplement,罒,(U+7F52),Z,CJK_Unified_Ideographs,ctext
⺭,(U+2EAD),Z,CJK_Radicals_Supplement,礻,(U+793B),Z,CJK_Unified_Ideographs,ctext
⺮,(U+2EAE),Z,CJK_Radicals_Supplement,𥫗,(U+25AD7),Z,CJK_Extension_B,ctext
⺯,(U+2EAF),Z,CJK_Radicals_Supplement,糹,(U+7CF9),Z,CJK_Unified_Ideographs,ctext
⺰,(U+2EB0),Z,CJK_Radicals_Supplement,纟,(U+7E9F),Z,CJK_Unified_Ideographs,ctext
⺲,(U+2EB2),Z,CJK_Radicals_Supplement,罒,(U+7F52),Z,CJK_Unified_Ideographs,ctext
⺴,(U+2EB4),Z,CJK_Radicals_Supplement,⺳,(U+2EB3),Z,CJK_Radicals_Supplement,ctext
⺷,(U+2EB7),Z,CJK_Radicals_Supplement,𦍌,(U+2634C),Z,CJK_Extension_B,ctext
⺼,(U+2EBC),Z,CJK_Radicals_Supplement,月,(U+6708),A,CJK_Unified_Ideographs,NS;ctext
⺾,(U+2EBE),Z,CJK_Radicals_Supplement,艹,(U+8279),Z,CJK_Unified_Ideographs,ctext
⻂,(U+2EC2),Z,CJK_Radicals_Supplement,衤,(U+8864),Z,CJK_Unified_Ideographs,ctext
⻃,(U+2EC3),Z,CJK_Radicals_Supplement,覀,(U+8980),Z,CJK_Unified_Ideographs,ctext
⻈,(U+2EC8),Z,CJK_Radicals_Supplement,讠,(U+8BA0),Z,CJK_Unified_Ideographs,ctext
⻊,(U+2ECA),Z,CJK_Radicals_Supplement,𧾷,(U+27FB7),Z,CJK_Extension_B,ctext
⻌,(U+2ECC),Z,CJK_Radicals_Supplement,辶,(U+8FB6),Z,CJK_Unified_Ideographs,ctext
⻏,(U+2ECF),Z,CJK_Radicals_Supplement,阝,(U+961D),Z,CJK_Unified_Ideographs,ctext
⻑,(U+2ED1),Z,CJK_Radicals_Supplement,長,(U+9577),A,CJK_Unified_Ideographs,ctext
⻒,(U+2ED2),Z,CJK_Radicals_Supplement,镸,(U+9578),Z,CJK_Unified_Ideographs,ctext
⻔,(U+2ED4),Z,CJK_Radicals_Supplement,门,(U+95E8),Z,CJK_Unified_Ideographs,ctext
⻖,(U+2ED6),Z,CJK_Radicals_Supplement,阝,(U+961D),Z,CJK_Unified_Ideographs,ctext
⻗,(U+2ED7),Z,CJK_Radicals_Supplement,雨,(U+96E8),A,CJK_Unified_Ideographs,ctext
⼇,(U+2F07),Z,CJK_Radicals,亠,(U+4EA0),Z,CJK_Unified_Ideographs,ctext
⼌,(U+2F0C),Z,CJK_Radicals,冂,(U+5182),Z,CJK_Unified_Ideographs,ctext
⼍,(U+2F0D),Z,CJK_Radicals,冖,(U+5196),Z,CJK_Unified_Ideographs,ctext
⼎,(U+2F0E),Z,CJK_Radicals,冫,(U+51AB),Z,CJK_Unified_Ideographs,ctext
⼓,(U+2F13),Z,CJK_Radicals,勹,(U+52F9),Z,CJK_Unified_Ideographs,ctext
⼔,(U+2F14),Z,CJK_Radicals,匕,(U+5315),A,CJK_Unified_Ideographs,ctext
⼛,(U+2F1B),Z,CJK_Radicals,厶,(U+53B6),C,CJK_Unified_Ideographs,ctext
⼧,(U+2F27),Z,CJK_Radicals,宀,(U+5B80),C,CJK_Unified_Ideographs,ctext
⼮,(U+2F2E),Z,CJK_Radicals,巛,(U+5DDB),Z,CJK_Unified_Ideographs,ctext
⼹,(U+2F39),Z,CJK_Radicals,彐,(U+5F50),C,CJK_Unified_Ideographs,ctext
⼺,(U+2F3A),Z,CJK_Radicals,彡,(U+5F61),C,CJK_Unified_Ideographs,ctext
⽁,(U+2F41),Z,CJK_Radicals,攴,(U+6534),C,CJK_Unified_Ideographs,ctext
⽧,(U+2F67),Z,CJK_Radicals,疒,(U+7592),C,CJK_Unified_Ideographs,ctext
⾅,(U+2F85),Z,CJK_Radicals,臼,(U+81FC),A,CJK_Unified_Ideographs,ctext
⾆,(U+2F86),Z,CJK_Radicals,舌,(U+820C),A,CJK_Unified_Ideographs,ctext
⾌,(U+2F8C),Z,CJK_Radicals,虍,(U+864D),C,CJK_Unified_Ideographs,ctext
⾣,(U+2FA3),Z,CJK_Radicals,酉,(U+9149),A,CJK_Unified_Ideographs,ctext
〢,(U+3022),Z,CJK_Symbols_and_Punctuation,行,(U+884C),A,CJK_Unified_Ideographs,MOE
〸,(U+3038),Z,CJK_Symbols_and_Punctuation,十,(U+5341),A,CJK_Unified_Ideographs,ctext
ム,(U+30E0),Z,Other,厶,(U+53B6),C,CJK_Unified_Ideographs,ctext
ㄊ,(U+310A),Z,Bopomofo,云,(U+4E91),A,CJK_Unified_Ideographs,NS
㐀,(U+3400),Z,CJK_Extension_A,丘,(U+4E18),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic
㐁,(U+3401),C,CJK_Extension_A,西,(U+897F),A,CJK_Unified_Ideographs,NS;twedu
㐄,(U+3404),Z,CJK_Extension_A,牛,(U+725B),A,CJK_Unified_Ideographs,NS
㐅,(U+3405),Z,CJK_Extension_A,五,(U+4E94),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic
㐌,(U+340C),C,CJK_Extension_A,色,(U+8272),A,CJK_Unified_Ideographs,twedu
㐖,(U+3416),C,CJK_Extension_A,乱,(U+4E71),Z,CJK_Unified_Ideographs,NS
㐜,(U+341C),C,CJK_Extension_A,仇,(U+4EC7),A,CJK_Unified_Ideographs,NS;hydzd
㐡,(U+3421),Z,CJK_Extension_A,懦,(U+61E6),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㐨,(U+3428),C,CJK_Extension_A,予,(U+4E88),A,CJK_Unified_Ideographs,NS
㐩,(U+3429),C,CJK_Extension_A,井,(U+4E95),A,CJK_Unified_Ideographs,NS
㐩,(U+3429),C,CJK_Extension_A,鈃,(U+9203),B,CJK_Unified_Ideographs,twedu
㐪,(U+342A),Z,CJK_Extension_A,亥,(U+4EA5),A,CJK_Unified_Ideographs,MOE;NS;twedu
㐫,(U+342B),Z,CJK_Extension_A,凶,(U+51F6),A,CJK_Unified_Ideographs,MOE;hydzd;twedu;unihan_semantic
㐭,(U+342D),Z,CJK_Extension_A,廩,(U+5EE9),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㐮,(U+342E),Z,CJK_Extension_A,襄,(U+8944),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic
㐰,(U+3430),Z,CJK_Extension_A,信,(U+4FE1),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㐴,(U+3434),Z,CJK_Extension_A,攀,(U+6500),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic
㐵,(U+3435),Z,CJK_Extension_A,儒,(U+5112),A,CJK_Unified_Ideographs,MOE;NS;unihan_semantic
㐶,(U+3436),Z,CJK_Extension_A,化,(U+5316),A,CJK_Unified_Ideographs,MOE;NS;twedu
㐷,(U+3437),Z,CJK_Extension_A,傌,(U+508C),B,CJK_Unified_Ideographs,cjkvi_simplified;unihan_simplified;unihan_traditional
㐸,(U+3438),Z,CJK_Extension_A,欠,(U+6B20),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㐺,(U+343A),Z,CJK_Extension_A,眾,(U+773E),A,CJK_Unified_Ideographs,MOE;NS;twedu
㐽,(U+343D),Z,CJK_Extension_A,偑,(U+5051),C,CJK_Unified_Ideographs,cjkvi_simplified;unihan_simplified;unihan_traditional
㐾,(U+343E),Z,CJK_Extension_A,忨,(U+5FE8),B,CJK_Unified_Ideographs,NS
㑀,(U+3440),Z,CJK_Extension_A,忲,(U+5FF2),Z,CJK_Unified_Ideographs,NS
㑁,(U+3441),C,CJK_Extension_A,墜,(U+589C),A,CJK_Unified_Ideographs,NS
㑂,(U+3442),Z,CJK_Extension_A,倣,(U+5023),A,CJK_Unified_Ideographs,NS;twedu
㑃,(U+3443),C,CJK_Extension_A,拗,(U+62D7),A,CJK_Unified_Ideographs,NS;hydzd;twedu
㑄,(U+3444),Z,CJK_Extension_A,侮,(U+4FAE),A,CJK_Unified_Ideographs,MOE;hydzd;twedu;unihan_semantic
㑅,(U+3445),Z,CJK_Extension_A,作,(U+4F5C),A,CJK_Unified_Ideographs,MOE;hydzd;twedu
㑆,(U+3446),Z,CJK_Extension_A,怳,(U+6033),B,CJK_Unified_Ideographs,NS
㑇,(U+3447),Z,CJK_Extension_A,㑳,(U+3473),C,CJK_Extension_A,cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
㑈,(U+3448),Z,CJK_Extension_A,倲,(U+5032),C,CJK_Unified_Ideographs,cjkvi_simplified;unihan_simplified;unihan_traditional
㑉,(U+3449),C,CJK_Extension_A,夙,(U+5919),A,CJK_Unified_Ideographs,NS
㑊,(U+344A),C,CJK_Extension_A,亦,(U+4EA6),A,CJK_Unified_Ideographs,NS
㑌,(U+344C),Z,CJK_Extension_A,匡,(U+5321),A,CJK_Unified_Ideographs,NS
㑍,(U+344D),C,CJK_Extension_A,耒,(U+8012),A,CJK_Unified_Ideographs,NS
㑎,(U+344E),C,CJK_Extension_A,徑,(U+5F91),A,CJK_Unified_Ideographs,NS
㑏,(U+344F),Z,CJK_Extension_A,佇,(U+4F47),A,CJK_Unified_Ideographs,MOE;NS;twedu
㑐,(U+3450),C,CJK_Extension_A,尗,(U+5C17),Z,CJK_Unified_Ideographs,NS
㑑,(U+3451),Z,CJK_Extension_A,喒,(U+5592),B,CJK_Unified_Ideographs,MOE;NS;twedu
㑓,(U+3453),Z,CJK_Extension_A,俊,(U+4FCA),A,CJK_Unified_Ideographs,MOE;NS
㑔,(U+3454),Z,CJK_Extension_A,㑯,(U+346F),C,CJK_Extension_A,cjkvi_simplified;unihan_simplified;unihan_traditional
㑗,(U+3457),C,CJK_Extension_A,身,(U+8EAB),A,CJK_Unified_Ideographs,NS
㑘,(U+3458),Z,CJK_Extension_A,价,(U+4EF7),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㑚,(U+345A),C,CJK_Extension_A,那,(U+90A3),A,CJK_Unified_Ideographs,NS
㑛,(U+345B),C,CJK_Extension_A,悚,(U+609A),A,CJK_Unified_Ideographs,NS
㑜,(U+345C),C,CJK_Extension_A,折,(U+6298),A,CJK_Unified_Ideographs,NS
㑝,(U+345D),C,CJK_Extension_A,挵,(U+6335),Z,CJK_Unified_Ideographs,NS
㑞,(U+345E),C,CJK_Extension_A,媵,(U+5AB5),B,CJK_Unified_Ideographs,NS;hydzd;twedu
㑟,(U+345F),C,CJK_Extension_A,兵,(U+5175),A,CJK_Unified_Ideographs,NS
㑡,(U+3461),Z,CJK_Extension_A,即,(U+5373),A,CJK_Unified_Ideographs,NS
㑢,(U+3462),Z,CJK_Extension_A,却,(U+5374),Z,CJK_Unified_Ideographs,NS
㑣,(U+3463),C,CJK_Extension_A,惏,(U+60CF),B,CJK_Unified_Ideographs,NS
㑤,(U+3464),Z,CJK_Extension_A,苗,(U+82D7),A,CJK_Unified_Ideographs,NS
㑦,(U+3466),C,CJK_Extension_A,戾,(U+623E),A,CJK_Unified_Ideographs,NS;hydzd
㑧,(U+3467),Z,CJK_Extension_A,悸,(U+60B8),A,CJK_Unified_Ideographs,MOE;NS;twedu
㑩,(U+3469),Z,CJK_Extension_A,儸,(U+5138),B,CJK_Unified_Ideographs,NS;cjkvi_simplified;unihan_simplified;unihan_traditional
㑫,(U+346B),Z,CJK_Extension_A,捻,(U+637B),A,CJK_Unified_Ideographs,NS
㑭,(U+346D),Z,CJK_Extension_A,俾,(U+4FFE),A,CJK_Unified_Ideographs,NS
㑮,(U+346E),C,CJK_Extension_A,惲,(U+60F2),B,CJK_Unified_Ideographs,NS
㑯,(U+346F),C,CJK_Extension_A,頂,(U+9802),A,CJK_Unified_Ideographs,NS
㑰,(U+3470),Z,CJK_Extension_A,掾,(U+63BE),B,CJK_Unified_Ideographs,NS
㑱,(U+3471),Z,CJK_Extension_A,揉,(U+63C9),A,CJK_Unified_Ideographs,NS
㑲,(U+3472),Z,CJK_Extension_A,備,(U+5099),A,CJK_Unified_Ideographs,MOE;NS;twedu
㑴,(U+3474),Z,CJK_Extension_A,侵,(U+4FB5),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㑵,(U+3475),C,CJK_Extension_A,嫉,(U+5AC9),A,CJK_Unified_Ideographs,NS;hydzd
㑶,(U+3476),C,CJK_Extension_A,愾,(U+613E),A,CJK_Unified_Ideographs,NS
㑷,(U+3477),Z,CJK_Extension_A,態,(U+614B),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㑸,(U+3478),Z,CJK_Extension_A,倚,(U+501A),A,CJK_Unified_Ideographs,NS
㑹,(U+3479),Z,CJK_Extension_A,會,(U+6703),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㑺,(U+347A),Z,CJK_Extension_A,俊,(U+4FCA),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㑼,(U+347C),C,CJK_Extension_A,略,(U+7565),A,CJK_Unified_Ideographs,NS
㑿,(U+347F),C,CJK_Extension_A,巢,(U+5DE2),A,CJK_Unified_Ideographs,NS
㒀,(U+3480),C,CJK_Extension_A,摘,(U+6458),A,CJK_Unified_Ideographs,NS
㒁,(U+3481),C,CJK_Extension_A,俁,(U+4FC1),B,CJK_Unified_Ideographs,NS;twedu
㒂,(U+3482),C,CJK_Extension_A,著,(U+8457),A,CJK_Unified_Ideographs,NS
㒄,(U+3484),C,CJK_Extension_A,撚,(U+649A),A,CJK_Unified_Ideographs,NS
㒅,(U+3485),C,CJK_Extension_A,袳,(U+88B3),C,CJK_Unified_Ideographs,NS
㒆,(U+3486),Z,CJK_Extension_A,歙,(U+6B59),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㒈,(U+3488),C,CJK_Extension_A,橄,(U+6A44),A,CJK_Unified_Ideographs,NS
㒉,(U+3489),Z,CJK_Extension_A,儻,(U+513B),B,CJK_Unified_Ideographs,MOE;NS;twedu
㒊,(U+348A),C,CJK_Extension_A,澀,(U+6F80),A,CJK_Unified_Ideographs,NS
㒋,(U+348B),Z,CJK_Extension_A,廝,(U+5EDD),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic
㒌,(U+348C),Z,CJK_Extension_A,煢,(U+7162),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㒍,(U+348D),Z,CJK_Extension_A,傪,(U+50AA),C,CJK_Unified_Ideographs,NS
㒎,(U+348E),C,CJK_Extension_A,僑,(U+50D1),A,CJK_Unified_Ideographs,NS
㒏,(U+348F),Z,CJK_Extension_A,寒,(U+5BD2),A,CJK_Unified_Ideographs,NS
㒑,(U+3491),C,CJK_Extension_A,匯,(U+532F),A,CJK_Unified_Ideographs,NS
㒒,(U+3492),C,CJK_Extension_A,僕,(U+50D5),A,CJK_Unified_Ideographs,NS;hydzd
㒔,(U+3494),C,CJK_Extension_A,擉,(U+64C9),B,CJK_Unified_Ideographs,NS
㒕,(U+3495),C,CJK_Extension_A,擁,(U+64C1),A,CJK_Unified_Ideographs,NS
㒖,(U+3496),Z,CJK_Extension_A,藕,(U+85D5),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㒗,(U+3497),Z,CJK_Extension_A,儓,(U+5113),B,CJK_Unified_Ideographs,MOE;twedu
㒗,(U+3497),Z,CJK_Extension_A,擡,(U+64E1),Z,CJK_Unified_Ideographs,NS
㒘,(U+3498),Z,CJK_Extension_A,竪,(U+7AEA),Z,CJK_Unified_Ideographs,NS
㒚,(U+349A),C,CJK_Extension_A,文,(U+6587),A,CJK_Unified_Ideographs,NS;unihan_specialized
㒛,(U+349B),C,CJK_Extension_A,擢,(U+64E2),B,CJK_Unified_Ideographs,NS
㒜,(U+349C),C,CJK_Extension_A,與,(U+8207),A,CJK_Unified_Ideographs,NS
㒝,(U+349D),C,CJK_Extension_A,幭,(U+5E6D),B,CJK_Unified_Ideographs,NS
㒞,(U+349E),Z,CJK_Extension_A,儁,(U+5101),Z,CJK_Unified_Ideographs,NS
㒟,(U+349F),C,CJK_Extension_A,裊,(U+88CA),A,CJK_Unified_Ideographs,NS
㒠,(U+34A0),C,CJK_Extension_A,瀣,(U+7023),B,CJK_Unified_Ideographs,NS
㒡,(U+34A1),C,CJK_Extension_A,繇,(U+7E47),B,CJK_Unified_Ideographs,NS
㒢,(U+34A2),Z,CJK_Extension_A,瀹,(U+7039),B,CJK_Unified_Ideographs,NS
㒤,(U+34A4),C,CJK_Extension_A,懾,(U+61FE),A,CJK_Unified_Ideographs,NS;hydzd
㒥,(U+34A5),C,CJK_Extension_A,灃,(U+7043),B,CJK_Unified_Ideographs,NS
㒦,(U+34A6),C,CJK_Extension_A,儡,(U+5121),A,CJK_Unified_Ideographs,NS;hydzd;twedu
㒧,(U+34A7),Z,CJK_Extension_A,儷,(U+5137),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㒨,(U+34A8),Z,CJK_Extension_A,仙,(U+4ED9),A,CJK_Unified_Ideographs,NS
㒩,(U+34A9),C,CJK_Extension_A,裸,(U+88F8),A,CJK_Unified_Ideographs,NS;hydzd
㒪,(U+34AA),Z,CJK_Extension_A,錫,(U+932B),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㒫,(U+34AB),Z,CJK_Extension_A,旡,(U+65E1),C,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㒭,(U+34AD),Z,CJK_Extension_A,昆,(U+6606),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㒮,(U+34AE),Z,CJK_Extension_A,豗,(U+8C57),B,CJK_Unified_Ideographs,NS
㒰,(U+34B0),Z,CJK_Extension_A,全,(U+5168),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic
㒲,(U+34B2),Z,CJK_Extension_A,財,(U+8CA1),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic
㒳,(U+34B3),Z,CJK_Extension_A,兩,(U+5169),A,CJK_Unified_Ideographs,NS;hydzd;twedu
㒴,(U+34B4),C,CJK_Extension_A,仚,(U+4EDA),C,CJK_Unified_Ideographs,NS
㒶,(U+34B6),Z,CJK_Extension_A,公,(U+516C),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㒷,(U+34B7),Z,CJK_Extension_A,興,(U+8208),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic;unihan_specialized
㒸,(U+34B8),C,CJK_Extension_A,遂,(U+9042),A,CJK_Unified_Ideographs,NS;hydzd
㒺,(U+34BA),Z,CJK_Extension_A,罔,(U+7F54),A,CJK_Unified_Ideographs,MOE;NS;twedu
㒻,(U+34BB),C,CJK_Extension_A,冒,(U+5192),A,CJK_Unified_Ideographs,NS;hydzd;twedu
㒾,(U+34BE),C,CJK_Extension_A,葹,(U+8479),B,CJK_Unified_Ideographs,NS
㒿,(U+34BF),C,CJK_Extension_A,籬,(U+7C6C),A,CJK_Unified_Ideographs,NS
㓁,(U+34C1),Z,CJK_Extension_A,网,(U+7F51),B,CJK_Unified_Ideographs,NS;unihan_semantic
㓂,(U+34C2),Z,CJK_Extension_A,寇,(U+5BC7),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㓃,(U+34C3),C,CJK_Extension_A,咤,(U+54A4),Z,CJK_Unified_Ideographs,NS;hydzd
㓄,(U+34C4),C,CJK_Extension_A,毿,(U+6BFF),B,CJK_Unified_Ideographs,NS
㓅,(U+34C5),C,CJK_Extension_A,汀,(U+6C40),A,CJK_Unified_Ideographs,NS
㓇,(U+34C7),Z,CJK_Extension_A,沃,(U+6C83),A,CJK_Unified_Ideographs,MOE;NS;twedu
㓉,(U+34C9),C,CJK_Extension_A,活,(U+6D3B),A,CJK_Unified_Ideographs,NS;twedu
㓊,(U+34CA),C,CJK_Extension_A,洞,(U+6D1E),A,CJK_Unified_Ideographs,NS;twedu
㓋,(U+34CB),C,CJK_Extension_A,洪,(U+6D2A),A,CJK_Unified_Ideographs,NS;twedu
㓌,(U+34CC),C,CJK_Extension_A,凔,(U+51D4),B,CJK_Unified_Ideographs,NS
㓍,(U+34CD),Z,CJK_Extension_A,流,(U+6D41),A,CJK_Unified_Ideographs,NS
㓎,(U+34CE),C,CJK_Extension_A,浸,(U+6D78),A,CJK_Unified_Ideographs,NS
㓏,(U+34CF),C,CJK_Extension_A,洞,(U+6D1E),A,CJK_Unified_Ideographs,NS
㓐,(U+34D0),C,CJK_Extension_A,陸,(U+9678),A,CJK_Unified_Ideographs,NS
㓑,(U+34D1),C,CJK_Extension_A,涬,(U+6DAC),B,CJK_Unified_Ideographs,NS
㓒,(U+34D2),Z,CJK_Extension_A,恭,(U+606D),A,CJK_Unified_Ideographs,NS
㓓,(U+34D3),C,CJK_Extension_A,湳,(U+6E73),B,CJK_Unified_Ideographs,NS;unihan_spoofing
㓔,(U+34D4),C,CJK_Extension_A,謝,(U+8B1D),A,CJK_Unified_Ideographs,NS;hydzd
㓕,(U+34D5),Z,CJK_Extension_A,滅,(U+6EC5),A,CJK_Unified_Ideographs,MOE;NS;twedu;unihan_spoofing
㓗,(U+34D7),Z,CJK_Extension_A,潔,(U+6F54),A,CJK_Unified_Ideographs,MOE;hydzd;twedu;unihan_spoofing
㓘,(U+34D8),C,CJK_Extension_A,玊,(U+738A),B,CJK_Unified_Ideographs,NS
㓙,(U+34D9),Z,CJK_Extension_A,凶,(U+51F6),A,CJK_Unified_Ideographs,NS
㓚,(U+34DA),C,CJK_Extension_A,功,(U+529F),A,CJK_Unified_Ideographs,NS
㓜,(U+34DC),Z,CJK_Extension_A,幼,(U+5E7C),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㓝,(U+34DD),Z,CJK_Extension_A,刑,(U+5211),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
㓞,(U+34DE),C,CJK_Extension_A,契,(U+5951),A,CJK_Unified_Ideographs,NS
㓟,(U+34DF),C,CJK_Extension_A,皮,(U+76AE),A,CJK_Unified_Ideographs,NS
㓡,(U+34E1),C,CJK_Extension_A,弣,(U+5F23),B,CJK_Unified_Ideographs,NS;hydzd
㓢,(U+34E2),C,CJK_Extension_A,刮,(U+522E),A,CJK_Unified_Ideographs,NS
㓣,(U+34E3),C,CJK_Extension_A,割,(U+5272),A,CJK_Unified_Ideographs,NS;hydzd;twedu
㓤,(U+34E4),C,CJK_Extension_A,劼,(U+52BC),B,CJK_Unified_Ideographs,NS
㓥,(U+34E5),Z,CJK_Extension_A,劏,(U+528F),Z,CJK_Unified_Ideographs,cjkvi_simplified;unihan_simplified;unihan_traditional
㓧,(U+34E7),C,CJK_Extension_A,含,(U+542B),A,CJK_Unified_Ideographs,NS
㓩,(U+34E9),C,CJK_Extension_A,觔,(U+89D4),B,CJK_Unified_Ideographs,NS
㓪,(U+34EA),Z,CJK_Extension_A,朗,(U+6717),A,CJK_Unified_Ideographs,MOE;NS;hydzd
㓬,(U+34EC),C,CJK_Extension_A,刳,(U+5233),B,CJK_Unified_Ideographs,NS;hydzd;twedu
㓭,(U+34ED),C,CJK_Extension_A,鞨,(U+97A8),B,CJK_Unified_Ideographs,NS;hydzd
㓮,(U+34EE),Z,CJK_Extension_A,割,(U+5272),A,CJK_Unified_Ideographs,MOE;NS;twedu
㓯,(U+34EF),Z,CJK_Extension_A,剿,(U+527F),A,CJK_Unified_Ideographs,NS
㓱,(U+34F1),C,CJK_Extension_A,鄃,(U+9103),B,CJK_Unified_Ideographs,NS;hydzd
㓲,(U+34F2),C,CJK_Extension_A,扁,(U+6241),A,CJK_Unified_Ideographs,NS
㓳,(U+34F3),C,CJK_Extension_A,匙,(U+5319),A,CJK_Unified_Ideographs,NS
㓸,(U+34F8),Z,CJK_Extension_A,斲,(U+65B2),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic
㓹,(U+34F9),C,CJK_Extension_A,銳,(U+92B3),A,CJK_Unified_Ideographs,NS;twedu
㓺,(U+34FA),C,CJK_Extension_A,劇,(U+5287),A,CJK_Unified_Ideographs,NS
㓼,(U+34FC),C,CJK_Extension_A,剟,(U+525F),B,CJK_Unified_Ideographs,NS;hydzd
㓽,(U+34FD),C,CJK_Extension_A,崇,(U+5D07),A,CJK_Unified_Ideographs,NS
㓾,(U+34FE),C,CJK_Extension_A,犀,(U+7280),A,CJK_Unified_Ideographs,NS
㓿,(U+34FF),Z,CJK_Extension_A,黍,(U+9ECD),A,CJK_Unified_Ideographs,NS
㔀,(U+3500),C,CJK_Extension_A,影,(U+5F71),A,CJK_Unified_Ideographs,NS
㔁,(U+3501),C,CJK_Extension_A,鄧,(U+9127),A,CJK_Unified_Ideographs,NS
㔂,(U+3502),C,CJK_Extension_A,粼,(U+7CBC),B,CJK_Unified_Ideographs,NS
㔃,(U+3503),C,CJK_Extension_A,絕,(U+7D55),A,CJK_Unified_Ideographs,NS;twedu
㔄,(U+3504),C,CJK_Extension_A,剽,(U+527D),A,CJK_Unified_Ideographs,NS
㔆,(U+3506),C,CJK_Extension_A,朁,(U+6701),B,CJK_Unified_Ideographs,NS
㔇,(U+3507),C,CJK_Extension_A,鏺,(U+93FA),C,CJK_Unified_Ideographs,NS;hydzd
㔈,(U+3508),Z,CJK_Extension_A,剕,(U+5255),B,CJK_Unified_Ideographs,NS
㔉,(U+3509),Z,CJK_Extension_A,劚,(U+529A),Z,CJK_Unified_Ideographs,cjkvi_simplified;unihan_simplified;unihan_traditional
㔊,(U+350A),C,CJK_Extension_A,亶,(U+4EB6),B,CJK_Unified_Ideographs,NS
㔋,(U+350B),C,CJK_Extension_A,監,(U+76E3),A,CJK_Unified_Ideographs,NS
㔌,(U+350C),C,CJK_Extension_A,鄹,(U+9139),A,CJK_Unified_Ideographs,NS
㔍,(U+350D),C,CJK_Extension_A,算,(U+7B97),A,CJK_Unified_Ideographs,NS
㔎,(U+350E),C,CJK_Extension_A,櫱,(U+6AF1),B,CJK_Unified_Ideographs,NS
㔏,(U+350F),C,CJK_Extension_A,磊,(U+78CA),A,CJK_Unified_Ideographs,NS
㔑,(U+3511),Z,CJK_Extension_A,刹,(U+5239),Z,CJK_Unified_Ideographs,NS
㔒,(U+3512),C,CJK_Extension_A,雟,(U+96DF),B,CJK_Unified_Ideographs,NS
㔓,(U+3513),C,CJK_Extension_A,謇,(U+8B07),B,CJK_Unified_Ideographs,NS;hydzd
