Variant,variant_cp,Variant_ABC,Variant_Block,Norm,norm_cp,Norm_ABC,Norm_Block,Sources
窓,(U+7A93),Z,CJK_Unified_Ideographs,窗,(U+7A97),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu;unihan_semantic
窚,(U+7A9A),C,CJK_Unified_Ideographs,宬,(U+5BAC),C,CJK_Unified_Ideographs,NS;hydzd;twedu
窜,(U+7A9C),Z,CJK_Unified_Ideographs,竄,(U+7AC4),A,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
窝,(U+7A9D),Z,CJK_Unified_Ideographs,窩,(U+7AA9),A,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
窥,(U+7AA5),Z,CJK_Unified_Ideographs,窺,(U+7ABA),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
窦,(U+7AA6),Z,CJK_Unified_Ideographs,竇,(U+7AC7),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
窭,(U+7AAD),Z,CJK_Unified_Ideographs,窶,(U+7AB6),B,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
窽,(U+7ABD),Z,CJK_Unified_Ideographs,欵,(U+6B35),Z,CJK_Unified_Ideographs,NS
竂,(U+7AC2),Z,CJK_Unified_Ideographs,寮,(U+5BEE),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
竃,(U+7AC3),Z,CJK_Unified_Ideographs,竈,(U+7AC8),Z,CJK_Unified_Ideographs,NS
竐,(U+7AD0),Z,CJK_Unified_Ideographs,投,(U+6295),A,CJK_Unified_Ideographs,NS
竖,(U+7AD6),Z,CJK_Unified_Ideographs,竪,(U+7AEA),Z,CJK_Unified_Ideographs,cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
竖,(U+7AD6),Z,CJK_Unified_Ideographs,豎,(U+8C4E),A,CJK_Unified_Ideographs,cjkvi_simplified;unihan_simplified;unihan_traditional
竗,(U+7AD7),Z,CJK_Unified_Ideographs,妙,(U+5999),A,CJK_Unified_Ideographs,NS;hydzd
竜,(U+7ADC),Z,CJK_Unified_Ideographs,能,(U+80FD),A,CJK_Unified_Ideographs,NS;hydzd
竞,(U+7ADE),Z,CJK_Unified_Ideographs,競,(U+7AF6),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
竩,(U+7AE9),Z,CJK_Unified_Ideographs,誼,(U+8ABC),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
竸,(U+7AF8),Z,CJK_Unified_Ideographs,競,(U+7AF6),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
竼,(U+7AFC),Z,CJK_Unified_Ideographs,篷,(U+7BF7),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
笃,(U+7B03),Z,CJK_Unified_Ideographs,篤,(U+7BE4),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
笌,(U+7B0C),C,CJK_Unified_Ideographs,芽,(U+82BD),A,CJK_Unified_Ideographs,NS
笔,(U+7B14),Z,CJK_Unified_Ideographs,筆,(U+7B46),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;twedu;unihan_semantic;unihan_simplified;unihan_traditional
笕,(U+7B15),Z,CJK_Unified_Ideographs,筧,(U+7B67),B,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
笟,(U+7B1F),Z,CJK_Unified_Ideographs,箍,(U+7B8D),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
笶,(U+7B36),Z,CJK_Unified_Ideographs,矢,(U+77E2),A,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
笷,(U+7B37),Z,CJK_Unified_Ideographs,茆,(U+8306),B,CJK_Unified_Ideographs,NS
笺,(U+7B3A),Z,CJK_Unified_Ideographs,箋,(U+7B8B),A,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
笼,(U+7B3C),Z,CJK_Unified_Ideographs,籠,(U+7C60),A,CJK_Unified_Ideographs,MOE;NS;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
笾,(U+7B3E),Z,CJK_Unified_Ideographs,籩,(U+7C69),B,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
筂,(U+7B42),Z,CJK_Unified_Ideographs,篪,(U+7BEA),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
筚,(U+7B5A),Z,CJK_Unified_Ideographs,篳,(U+7BF3),B,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
筛,(U+7B5B),Z,CJK_Unified_Ideographs,篩,(U+7BE9),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
筜,(U+7B5C),Z,CJK_Unified_Ideographs,簹,(U+7C39),B,CJK_Unified_Ideographs,cjkvi_simplified;unihan_simplified;unihan_traditional
筝,(U+7B5D),Z,CJK_Unified_Ideographs,箏,(U+7B8F),A,CJK_Unified_Ideographs,MOE;NS;unihan_simplified;unihan_traditional
筹,(U+7B79),Z,CJK_Unified_Ideographs,籌,(U+7C4C),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;twedu;unihan_simplified;unihan_traditional
筺,(U+7B7A),Z,CJK_Unified_Ideographs,筐,(U+7B50),A,CJK_Unified_Ideographs,NS
筼,(U+7B7C),Z,CJK_Unified_Ideographs,篔,(U+7BD4),B,CJK_Unified_Ideographs,cjkvi_simplified;unihan_simplified;unihan_traditional
签,(U+7B7E),Z,CJK_Unified_Ideographs,簽,(U+7C3D),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
签,(U+7B7E),Z,CJK_Unified_Ideographs,籤,(U+7C64),A,CJK_Unified_Ideographs,cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
简,(U+7B80),Z,CJK_Unified_Ideographs,簡,(U+7C21),A,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
箆,(U+7B86),Z,CJK_Unified_Ideographs,篦,(U+7BE6),B,CJK_Unified_Ideographs,MOE;NS;hydzd;twedu
箓,(U+7B93),Z,CJK_Unified_Ideographs,籙,(U+7C59),B,CJK_Unified_Ideographs,cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
箚,(U+7B9A),Z,CJK_Unified_Ideographs,剳,(U+5273),Z,CJK_Unified_Ideographs,NS
箟,(U+7B9F),Z,CJK_Unified_Ideographs,箘,(U+7B98),B,CJK_Unified_Ideographs,MOE;NS;twedu
箥,(U+7BA5),Z,CJK_Unified_Ideographs,簸,(U+7C38),A,CJK_Unified_Ideographs,NS
箦,(U+7BA6),Z,CJK_Unified_Ideographs,簀,(U+7C00),B,CJK_Unified_Ideographs,MOE;cjkvi_simplified;hydzd;unihan_simplified;unihan_traditional
