simp,simp_cp,trad,trad_cp,relation_type,simp_hits_norm,trad_hits_norm
𬙅,(U+2C645),𦅷,(U+26177),unihan_simplified;unihan_traditional,0,15
𬙂,(U+2C642),縯,(U+7E2F),opencc_s2t;unihan_simplified;unihan_traditional,0,23
𬘾,(U+2C63E),𦄍,(U+2610D),unihan_simplified;unihan_traditional,0,7
𬘺,(U+2C63A),縚,(U+7E1A),unihan_simplified;unihan_traditional,0,159
𬘷,(U+2C637),縒,(U+7E12),unihan_simplified;unihan_traditional,0,657
𬘶,(U+2C636),緧,(U+7DE7),unihan_simplified;unihan_traditional,0,8
𬘵,(U+2C635),緪,(U+7DEA),unihan_simplified;unihan_traditional,0,9
𬘥,(U+2C625),絟,(U+7D5F),unihan_simplified;unihan_traditional,0,14
𬘲,(U+2C632),䋾,(U+42FE),unihan_simplified;unihan_traditional,0,143
𬘱,(U+2C631),䌁,(U+4301),unihan_simplified;unihan_traditional,0,1
𬘰,(U+2C630),緛,(U+7DDB),unihan_simplified;unihan_traditional,0,10
𬘯,(U+2C62F),綧,(U+7DA7),opencc_s2t;unihan_simplified;unihan_traditional,0,2
𬘭,(U+2C62D),綝,(U+7D9D),opencc_s2t;unihan_simplified;unihan_traditional,0,388
𬘬,(U+2C62C),綪,(U+7DAA),opencc_s2t;unihan_simplified;unihan_traditional,0,28
𬘫,(U+2C62B),綄,(U+7D84),opencc_s2t;unihan_simplified;unihan_traditional,0,9
𬘩,(U+2C629),綎,(U+7D8E),opencc_s2t;unihan_simplified;unihan_traditional,0,22
𬘴,(U+2C634),䋺,(U+42FA),unihan_simplified;unihan_traditional,0,3
𬑇,(U+2C447),𥇔,(U+251D4),unihan_simplified;unihan_traditional,0,8
𬑆,(U+2C446),睔,(U+7754),unihan_simplified;unihan_traditional,0,4
𬏷,(U+2C3F7),㿎,(U+3FCE),unihan_simplified;unihan_traditional,0,6
𬏮,(U+2C3EE),瘑,(U+7611),unihan_simplified;unihan_traditional,0,28
𬏫,(U+2C3EB),瘒,(U+7612),unihan_simplified;unihan_traditional,0,1
𬏦,(U+2C3E6),癈,(U+7648),unihan_simplified;unihan_traditional,0,1652
𬏤,(U+2C3E4),𤻲,(U+24EF2),unihan_simplified;unihan_traditional,0,24
𬖘,(U+2C598),𥼶,(U+25F36),unihan_simplified;unihan_traditional,0,343
𬎆,(U+2C386),㼆,(U+3F06),unihan_simplified;unihan_traditional,0,1
𬍡,(U+2C361),璗,(U+7497),opencc_s2t;unihan_simplified;unihan_traditional,0,4
𬍛,(U+2C35B),瓅,(U+74C5),opencc_s2t;unihan_simplified;unihan_traditional,0,27
𬍙,(U+2C359),琖,(U+7416),unihan_simplified;unihan_traditional,0,44
𬌷,(U+2C337),㺑,(U+3E91),unihan_simplified;unihan_traditional,0,6
𬌮,(U+2C32E),獟,(U+735F),unihan_simplified;unihan_traditional,0,5
𬌝,(U+2C31D),犓,(U+7293),unihan_simplified;unihan_traditional,0,2
𬊾,(U+2C2BE),㸐,(U+3E10),unihan_simplified;unihan_traditional,0,16
𬎑,(U+2C391),瓓,(U+74D3),unihan_simplified;unihan_traditional,0,18
𬖑,(U+2C591),粯,(U+7CAF),unihan_simplified;unihan_traditional,0,2
𬖃,(U+2C583),籫,(U+7C6B),unihan_simplified;unihan_traditional,0,13
𬕄,(U+2C544),籭,(U+7C6D),unihan_simplified;unihan_traditional,0,10
𬕂,(U+2C542),篢,(U+7BE2),opencc_s2t;unihan_simplified;unihan_traditional,0,6
𬔹,(U+2C539),𥳊,(U+25CCA),unihan_simplified;unihan_traditional,0,13
𬓼,(U+2C4FC),穨,(U+7A68),unihan_simplified;unihan_traditional,0,149
𬓫,(U+2C4EB),龝,(U+9F9D),unihan_simplified;unihan_traditional,0,14
𬑒,(U+2C452),䁱,(U+4071),unihan_simplified;unihan_traditional,0,2
𬒗,(U+2C497),𥗽,(U+255FD),opencc_s2t;unihan_simplified;unihan_traditional,0,1
𬒎,(U+2C48E),䃘,(U+40D8),unihan_simplified;unihan_traditional,0,6
𬒍,(U+2C48D),磒,(U+78D2),unihan_simplified;unihan_traditional,0,6
𬒈,(U+2C488),礐,(U+7910),opencc_s2t;unihan_simplified;unihan_traditional,0,22
𬒆,(U+2C486),礏,(U+790F),unihan_simplified;unihan_traditional,0,10
𬑗,(U+2C457),瞷,(U+77B7),unihan_simplified;unihan_traditional,0,48
𬑕,(U+2C455),睴,(U+7774),unihan_simplified;unihan_traditional,0,43
𬑓,(U+2C453),瞱,(U+77B1),unihan_simplified;unihan_traditional,0,27
𬓠,(U+2C4E0),穖,(U+7A56),unihan_simplified;unihan_traditional,0,1
𫟦,(U+2B7E6),䡵,(U+4875),opencc_s2t;unihan_simplified;unihan_traditional,0,1
𫟬,(U+2B7EC),𨟊,(U+287CA),opencc_s2t;unihan_simplified;unihan_traditional,0,3
𫟲,(U+2B7F2),釚,(U+91DA),opencc_s2t;unihan_simplified;unihan_traditional,0,5
𫟳,(U+2B7F3),釲,(U+91F2),opencc_s2t;unihan_simplified;unihan_traditional,0,26
𫟵,(U+2B7F5),鈗,(U+9217),opencc_s2t;unihan_simplified;unihan_traditional,0,7
𫟶,(U+2B7F6),銏,(U+928F),opencc_s2t;unihan_simplified;unihan_traditional,0,15
𫟷,(U+2B7F7),鉝,(U+925D),opencc_s2t;unihan_simplified;unihan_traditional,0,8
𫟸,(U+2B7F8),鉽,(U+927D),opencc_s2t;unihan_simplified;unihan_traditional,0,8
𫟹,(U+2B7F9),鉷,(U+9277),opencc_s2t;unihan_simplified;unihan_traditional,0,193
𫟺,(U+2B7FA),䤤,(U+4924),opencc_s2t;unihan_simplified;unihan_traditional,0,1
𫟻,(U+2B7FB),銂,(U+9282),opencc_s2t;unihan_simplified;unihan_traditional,0,1
𫟿,(U+2B7FF),鎈,(U+9388),opencc_s2t;unihan_simplified;unihan_traditional,0,4
𫠂,(U+2B802),閝,(U+959D),opencc_s2t;unihan_simplified;unihan_traditional,0,7
𫠆,(U+2B806),頍,(U+980D),opencc_s2t;unihan_simplified;unihan_traditional,0,91
𫠈,(U+2B808),䫾,(U+4AFE),opencc_s2t;unihan_simplified;unihan_traditional,0,3
𫺌,(U+2BE8C),愩,(U+6129),unihan_simplified;unihan_traditional,0,2
𫥎,(U+2B94E),毚,(U+6BDA),unihan_simplified;unihan_traditional,0,37
𫣫,(U+2B8EB),𠐍,(U+2040D),unihan_simplified;unihan_traditional,0,2
𫣛,(U+2B8DB),𠑲,(U+20472),unihan_simplified;unihan_traditional,0,3
𫣊,(U+2B8CA),僾,(U+50FE),unihan_simplified;unihan_traditional,0,31
𫣉,(U+2B8C9),儖,(U+5116),unihan_simplified;unihan_traditional,0,1
𫢺,(U+2B8BA),傪,(U+50AA),unihan_simplified;unihan_traditional,0,39
𫢸,(U+2B8B8),僤,(U+50E4),opencc_s2t;unihan_simplified;unihan_traditional,0,25
𫠋,(U+2B80B),騼,(U+9A3C),opencc_s2t;unihan_simplified;unihan_traditional,0,36
𫢬,(U+2B8AC),僗,(U+50D7),unihan_simplified;unihan_traditional,0,14
𫢪,(U+2B8AA),僆,(U+50C6),unihan_simplified;unihan_traditional,0,3
𫢙,(U+2B899),働,(U+50CD),unihan_simplified;unihan_traditional,0,8
𫢒,(U+2B892),儱,(U+5131),unihan_simplified;unihan_traditional,0,825
𫡶,(U+2B876),𩅾,(U+2917E),unihan_simplified;unihan_traditional,0,12
𫠜,(U+2B81C),齯,(U+9F6F),opencc_s2t;unihan_simplified;unihan_traditional,0,17
𫠐,(U+2B810),魽,(U+9B7D),opencc_s2t;unihan_simplified;unihan_traditional,0,1
𫠌,(U+2B80C),𩦠,(U+299A0),opencc_s2t;unihan_simplified;unihan_traditional,0,1
𫢭,(U+2B8AD),儰,(U+5130),unihan_simplified;unihan_traditional,0,1
𫝵,(U+2B775),嶹,(U+5DB9),opencc_s2t;unihan_simplified;unihan_traditional,0,2
𫝮,(U+2B76E),孄,(U+5B44),opencc_s2t;unihan_simplified;unihan_traditional,0,3
𫝭,(U+2B76D),孆,(U+5B46),opencc_s2t;unihan_simplified;unihan_traditional,0,18
𫝬,(U+2B76C),嬇,(U+5B07),opencc_s2t;unihan_simplified;unihan_traditional,0,3
𫝨,(U+2B768),媈,(U+5A88),opencc_s2t;unihan_simplified;unihan_traditional,0,11
𫝈,(U+2B748),㑮,(U+346E),opencc_s2t;unihan_simplified;unihan_traditional,0,3
𫜷,(U+2B737),𨞪,(U+287AA),unihan_simplified;unihan_traditional,0,4
𫟥,(U+2B7E5),䡩,(U+4869),opencc_s2t;unihan_simplified;unihan_traditional,0,10
𫜮,(U+2B72E),齴,(U+9F74),opencc_s2t;unihan_simplified;unihan_traditional,0,5
𫜬,(U+2B72C),齰,(U+9F70),opencc_s2t;unihan_simplified;unihan_traditional,0,49
𫜪,(U+2B72A),齩,(U+9F69),opencc_s2t;unihan_simplified;unihan_traditional,0,1103
𫜩,(U+2B729),齧,(U+9F67),opencc_s2t;unihan_simplified;unihan_traditional,0,1650
𫜟,(U+2B71F),𪓰,(U+2A4F0),opencc_s2t;unihan_simplified;unihan_traditional,0,5
𫜙,(U+2B719),䵴,(U+4D74),opencc_s2t;unihan_simplified;unihan_traditional,0,18
𫜓,(U+2B713),𪌭,(U+2A32D),opencc_s2t;unihan_simplified;unihan_traditional,0,2
𫜁,(U+2B701),鷩,(U+9DE9),opencc_s2t;unihan_simplified;unihan_traditional,0,75
𫜰,(U+2B730),齾,(U+9F7E),opencc_s2t;unihan_simplified;unihan_traditional,0,7
𫟢,(U+2B7E2),䜖,(U+4716),opencc_s2t;unihan_simplified;unihan_traditional,0,6
𫟡,(U+2B7E1),誴,(U+8AB4),opencc_s2t;unihan_simplified;unihan_traditional,0,5
𫟠,(U+2B7E0),譂,(U+8B42),opencc_s2t;unihan_simplified;unihan_traditional,0,13
𫟟,(U+2B7DF),詊,(U+8A4A),opencc_s2t;unihan_simplified;unihan_traditional,0,5
𫟞,(U+2B7DE),訨,(U+8A28),opencc_s2t;unihan_simplified;unihan_traditional,0,1
𫟆,(U+2B7C6),緟,(U+7DDF),opencc_s2t;unihan_simplified;unihan_traditional,0,9
𫟅,(U+2B7C5),綡,(U+7DA1),opencc_s2t;unihan_simplified;unihan_traditional,0,2
𫞗,(U+2B797),潣,(U+6F63),opencc_s2t;unihan_simplified;unihan_traditional,0,1
𫟃,(U+2B7C3),絍,(U+7D4D),opencc_s2t;unihan_simplified;unihan_traditional,0,156
𫞷,(U+2B7B7),𥢶,(U+258B6),opencc_s2t;unihan_simplified;unihan_traditional,0,153
𫞩,(U+2B7A9),璊,(U+748A),opencc_s2t;unihan_simplified;unihan_traditional,0,14
𫞥,(U+2B7A5),珼,(U+73FC),opencc_s2t;unihan_simplified;unihan_traditional,0,20
𫞡,(U+2B7A1),爃,(U+7203),opencc_s2t;unihan_simplified;unihan_traditional,0,8
𫞠,(U+2B7A0),爧,(U+7227),opencc_s2t;unihan_simplified;unihan_traditional,0,1
𫞛,(U+2B79B),㶆,(U+3D86),opencc_s2t;unihan_simplified;unihan_traditional,0,1
𫞚,(U+2B79A),澬,(U+6FAC),opencc_s2t;unihan_simplified;unihan_traditional,0,25
𫟄,(U+2B7C4),綋,(U+7D8B),opencc_s2t;unihan_simplified;unihan_traditional,0,8
𫯒,(U+2BBD2),𨑊,(U+2844A),unihan_simplified;unihan_traditional,0,15
𫯥,(U+2BBE5),奯,(U+596F),unihan_simplified;unihan_traditional,0,592
𫯶,(U+2BBF6),奫,(U+596B),unihan_simplified;unihan_traditional,0,78
𫰂,(U+2BC02),奲,(U+5972),unihan_simplified;unihan_traditional,0,6
𫰛,(U+2BC1B),娙,(U+5A19),opencc_s2t;unihan_simplified;unihan_traditional,0,41
𫰡,(U+2BC21),嬅,(U+5B05),unihan_simplified;unihan_traditional,0,1
𫰰,(U+2BC30),嬐,(U+5B10),unihan_simplified;unihan_traditional,0,8
𫰹,(U+2BC39),嫢,(U+5AE2),unihan_simplified;unihan_traditional,0,2
𫱕,(U+2BC55),㜮,(U+372E),unihan_simplified;unihan_traditional,0,3
𫲗,(U+2BC97),㜺,(U+373A),unihan_simplified;unihan_traditional,0,2
𫵵,(U+2BD75),崵,(U+5D35),unihan_simplified;unihan_traditional,0,5
𫵸,(U+2BD78),𡷨,(U+21DE8),unihan_simplified;unihan_traditional,0,4
𫶅,(U+2BD85),㠁,(U+3801),unihan_simplified;unihan_traditional,0,6
𫶇,(U+2BD87),嵽,(U+5D7D),opencc_s2t;unihan_simplified;unihan_traditional,0,22
𫶊,(U+2BD8A),𡽳,(U+21F73),unihan_simplified;unihan_traditional,0,4
𫥼,(U+2B97C),𠜲,(U+20732),unihan_simplified;unihan_traditional,0,2
𫺊,(U+2BE8A),懠,(U+61E0),unihan_simplified;unihan_traditional,0,10
𫺂,(U+2BE82),悏,(U+608F),unihan_simplified;unihan_traditional,0,30
𫺁,(U+2BE81),㤲,(U+3932),unihan_simplified;unihan_traditional,0,3
𫹽,(U+2BE7D),慯,(U+616F),unihan_simplified;unihan_traditional,0,10
𫹼,(U+2BE7C),𢛔,(U+226D4),unihan_simplified;unihan_traditional,0,3
𫹷,(U+2BE77),𢥠,(U+22960),unihan_simplified;unihan_traditional,0,34
𫹴,(U+2BE74),愇,(U+6107),unihan_simplified;unihan_traditional,0,28
𫶕,(U+2BD95),巆,(U+5DC6),unihan_simplified;unihan_traditional,0,7
𫸩,(U+2BE29),彄,(U+5F44),opencc_s2t;unihan_simplified;unihan_traditional,0,11
𫷾,(U+2BDFE),廮,(U+5EEE),unihan_simplified;unihan_traditional,0,73
𫷹,(U+2BDF9),廔,(U+5ED4),unihan_simplified;unihan_traditional,0,31
𫷷,(U+2BDF7),廞,(U+5EDE),opencc_s2t;unihan_simplified;unihan_traditional,0,158
𫷮,(U+2BDEE),廕,(U+5ED5),unihan_simplified;unihan_traditional,0,611
𫷬,(U+2BDEC),庲,(U+5EB2),unihan_simplified;unihan_traditional,0,10
𫷉,(U+2BDC9),幰,(U+5E70),unihan_simplified;unihan_traditional,0,444
𫷅,(U+2BDC5),㡓,(U+3853),unihan_simplified;unihan_traditional,0,3
𫹮,(U+2BE6E),懙,(U+61D9),unihan_simplified;unihan_traditional,0,6
𫪃,(U+2BA83),囇,(U+56C7),unihan_simplified;unihan_traditional,0,483
𫪂,(U+2BA82),㘙,(U+3619),unihan_simplified;unihan_traditional,0,3
𫪀,(U+2BA80),㗻,(U+35FB),unihan_simplified;unihan_traditional,0,37
𫩯,(U+2BA6F),𠹛,(U+20E5B),unihan_simplified;unihan_traditional,0,18
𫩫,(U+2BA6B),嚈,(U+5688),unihan_simplified;unihan_traditional,0,212
𫩩,(U+2BA69),㗙,(U+35D9),unihan_simplified;unihan_traditional,0,8
𫩤,(U+2BA64),㗼,(U+35FC),unihan_simplified;unihan_traditional,0,2
𫮅,(U+2BB85),墋,(U+588B),unihan_simplified;unihan_traditional,0,134
𫩕,(U+2BA55),嚝,(U+569D),unihan_simplified;unihan_traditional,0,245
𫨆,(U+2BA06),𠩘,(U+20A58),unihan_simplified;unihan_traditional,0,2
𫧯,(U+2B9EF),卨,(U+5368),unihan_simplified;unihan_traditional,0,38
𫦳,(U+2B9B3),㔢,(U+3522),unihan_simplified;unihan_traditional,0,5
𫦩,(U+2B9A9),㔝,(U+351D),unihan_simplified;unihan_traditional,0,1
𫦌,(U+2B98C),㔃,(U+3503),unihan_simplified;unihan_traditional,0,11
𫦉,(U+2B989),𠞭,(U+207AD),unihan_simplified;unihan_traditional,0,3
𫦅,(U+2B985),㔅,(U+3505),unihan_simplified;unihan_traditional,0,2
𫩚,(U+2BA5A),𠵹,(U+20D79),unihan_simplified;unihan_traditional,0,1
𫮃,(U+2BB83),墠,(U+58A0),opencc_s2t;unihan_simplified;unihan_traditional,0,308
𫭲,(U+2BB72),壧,(U+58E7),unihan_simplified;unihan_traditional,0,3
𫭮,(U+2BB6E),𡍫,(U+2136B),unihan_simplified;unihan_traditional,0,57
𫭪,(U+2BB6A),墝,(U+589D),unihan_simplified;unihan_traditional,0,41
𫭨,(U+2BB68),墢,(U+58A2),unihan_simplified;unihan_traditional,0,12
𫭢,(U+2BB62),埨,(U+57E8),opencc_s2t;unihan_simplified;unihan_traditional,0,8
𫭟,(U+2BB5F),塸,(U+5878),opencc_s2t;unihan_simplified;unihan_traditional,0,127
𫪘,(U+2BA98),𡂿,(U+210BF),unihan_simplified;unihan_traditional,0,12
𫫾,(U+2BAFE),嚬,(U+56AC),unihan_simplified;unihan_traditional,0,1261
𫫦,(U+2BAE6),嚪,(U+56AA),unihan_simplified;unihan_traditional,0,49
𫫇,(U+2BAC7),噁,(U+5641),opencc_s2t;unihan_simplified;unihan_traditional,0,722
𫪽,(U+2BABD),𠾬,(U+20FAC),unihan_simplified;unihan_traditional,0,10
𫪺,(U+2BABA),㗣,(U+35E3),unihan_simplified;unihan_traditional,0,15
𫪪,(U+2BAAA),𡂒,(U+21092),unihan_simplified;unihan_traditional,0,4
𫪧,(U+2BAA7),嘄,(U+5604),unihan_simplified;unihan_traditional,0,8
𫪚,(U+2BA9A),𠼗,(U+20F17),unihan_simplified;unihan_traditional,0,1
𫭞,(U+2BB5E),塼,(U+587C),unihan_simplified;unihan_traditional,0,1042
𬭢,(U+2CB62),鐀,(U+9400),unihan_simplified;unihan_traditional,0,8
𬭣,(U+2CB63),䤼,(U+493C),unihan_simplified;unihan_traditional,0,12
𬭤,(U+2CB64),鍭,(U+936D),opencc_s2t;unihan_simplified;unihan_traditional,0,59
𬭦,(U+2CB66),鎒,(U+9392),unihan_simplified;unihan_traditional,0,12
𬭨,(U+2CB68),鎚,(U+939A),unihan_simplified;unihan_traditional,0,3542
𬭪,(U+2CB6A),鎋,(U+938B),unihan_simplified;unihan_traditional,0,114
𬭭,(U+2CB6D),鏚,(U+93DA),opencc_s2t;unihan_simplified;unihan_traditional,0,36
𬭰,(U+2CB70),鏔,(U+93D4),unihan_simplified;unihan_traditional,0,11
𬭲,(U+2CB72),鏁,(U+93C1),unihan_simplified;unihan_traditional,0,1359
𬭸,(U+2CB78),鏻,(U+93FB),opencc_s2t;unihan_simplified;unihan_traditional,0,24
𬭺,(U+2CB7A),𨭚,(U+28B5A),unihan_simplified;unihan_traditional,0,3
𬭻,(U+2CB7B),䥞,(U+495E),unihan_simplified;unihan_traditional,0,3
𬭼,(U+2CB7C),鐩,(U+9429),opencc_s2t;unihan_simplified;unihan_traditional,0,21
𬭽,(U+2CB7D),鐴,(U+9434),unihan_simplified;unihan_traditional,0,11
𬮁,(U+2CB81),鑮,(U+946E),unihan_simplified;unihan_traditional,0,10
𬙆,(U+2C646),繙,(U+7E59),unihan_simplified;unihan_traditional,0,275
𬮿,(U+2CBBF),隑,(U+9691),opencc_s2t;unihan_simplified;unihan_traditional,0,7
𬮻,(U+2CBBB),隖,(U+9696),unihan_simplified;unihan_traditional,0,189
𬮵,(U+2CBB5),𨵬,(U+28D6C),unihan_simplified;unihan_traditional,0,1
𬮴,(U+2CBB4),闇,(U+95C7),unihan_simplified;unihan_traditional,0,17448
𬮳,(U+2CBB3),闆,(U+95C6),unihan_simplified;unihan_traditional,0,6
𬮱,(U+2CBB1),闉,(U+95C9),opencc_s2t;unihan_simplified;unihan_traditional,0,224
𬮯,(U+2CBAF),𨵗,(U+28D57),unihan_simplified;unihan_traditional,0,286
𬮃,(U+2CB83),𨰭,(U+28C2D),unihan_simplified;unihan_traditional,0,16
𬮬,(U+2CBAC),𮤒,(U+2E912),unihan_simplified;unihan_traditional,0,3
𬮥,(U+2CBA5),閦,(U+95A6),unihan_simplified;unihan_traditional,0,2988
𬮤,(U+2CBA4),閤,(U+95A4),unihan_simplified;unihan_traditional,0,2381
𬮢,(U+2CBA2),閧,(U+95A7),unihan_simplified;unihan_traditional,0,226
𬮡,(U+2CBA1),𨳿,(U+28CFF),unihan_simplified;unihan_traditional,0,1
𬮠,(U+2CBA0),閜,(U+959C),unihan_simplified;unihan_traditional,0,37
𬮟,(U+2CB9F),焛,(U+711B),unihan_simplified;unihan_traditional,0,1
𬮄,(U+2CB84),𨲭,(U+28CAD),unihan_simplified;unihan_traditional,0,2
𬮭,(U+2CBAD),闚,(U+95DA),unihan_simplified;unihan_traditional,0,633
𬬪,(U+2CB2A),釦,(U+91E6),unihan_simplified;unihan_traditional,0,30
𬬫,(U+2CB2B),鈚,(U+921A),unihan_simplified;unihan_traditional,0,19
𬬭,(U+2CB2D),錀,(U+9300),opencc_s2t;unihan_simplified;unihan_traditional,0,21
𬬮,(U+2CB2E),鋹,(U+92F9),opencc_s2t;unihan_simplified;unihan_traditional,0,36
𬬰,(U+2CB30),鎗,(U+9397),unihan_simplified;unihan_traditional,0,1143
𬬱,(U+2CB31),釿,(U+91FF),opencc_s2t;unihan_simplified;unihan_traditional,0,190
𬬲,(U+2CB32),釽,(U+91FD),unihan_simplified;unihan_traditional,0,10
𬬴,(U+2CB34),𨥜,(U+2895C),unihan_simplified;unihan_traditional,0,8
𬬵,(U+2CB35),鈂,(U+9202),unihan_simplified;unihan_traditional,0,18
𬬷,(U+2CB37),鉐,(U+9250),unihan_simplified;unihan_traditional,0,67
𬬸,(U+2CB38),鉥,(U+9265),opencc_s2t;unihan_simplified;unihan_traditional,0,13
𬬺,(U+2CB3A),鉏,(U+924F),unihan_simplified;unihan_traditional,0,724
𬬻,(U+2CB3B),鑪,(U+946A),opencc_s2t;unihan_simplified;unihan_traditional,0,2466
𬬽,(U+2CB3D),鈼,(U+923C),unihan_simplified;unihan_traditional,0,2
𬬾,(U+2CB3E),鑏,(U+944F),unihan_simplified;unihan_traditional,0,1
𬭝,(U+2CB5D),鏒,(U+93D2),unihan_simplified;unihan_traditional,0,16
𬭜,(U+2CB5C),錑,(U+9311),unihan_simplified;unihan_traditional,0,1
𬭚,(U+2CB5A),錞,(U+931E),opencc_s2t;unihan_simplified;unihan_traditional,0,93
𬭙,(U+2CB59),𨭐,(U+28B50),unihan_simplified;unihan_traditional,0,6
𬭕,(U+2CB55),錭,(U+932D),unihan_simplified;unihan_traditional,0,23
𬭔,(U+2CB54),鑡,(U+9461),unihan_simplified;unihan_traditional,0,7
𬭑,(U+2CB51),𨧫,(U+289EB),unihan_simplified;unihan_traditional,0,1
𬭏,(U+2CB4F),鐊,(U+940A),unihan_simplified;unihan_traditional,0,7
𬬿,(U+2CB3F),鉊,(U+924A),opencc_s2t;unihan_simplified;unihan_traditional,0,15
𬭍,(U+2CB4D),銲,(U+92B2),unihan_simplified;unihan_traditional,0,39
𬭌,(U+2CB4C),鋘,(U+92D8),unihan_simplified;unihan_traditional,0,25
𬭉,(U+2CB49),鑇,(U+9447),unihan_simplified;unihan_traditional,0,9
𬭈,(U+2CB48),䤩,(U+4929),unihan_simplified;unihan_traditional,0,1
𬭅,(U+2CB45),銗,(U+9297),unihan_simplified;unihan_traditional,0,1
𬭃,(U+2CB43),銔,(U+9294),unihan_simplified;unihan_traditional,0,5
𬭁,(U+2CB41),鉧,(U+9267),opencc_s2t;unihan_simplified;unihan_traditional,0,10
𬭀,(U+2CB40),鈶,(U+9236),unihan_simplified;unihan_traditional,0,3
𬭎,(U+2CB4E),鋐,(U+92D0),opencc_s2t;unihan_simplified;unihan_traditional,0,36
𬲳,(U+2CCB3),䭞,(U+4B5E),unihan_simplified;unihan_traditional,0,2
𬲷,(U+2CCB7),䬶,(U+4B36),unihan_simplified;unihan_traditional,0,4
𬲺,(U+2CCBA),𩛞,(U+296DE),unihan_simplified;unihan_traditional,0,12
𬲻,(U+2CCBB),䬾,(U+4B3E),unihan_simplified;unihan_traditional,0,3
𬳀,(U+2CCC0),䭇,(U+4B47),unihan_simplified;unihan_traditional,0,2
𬳁,(U+2CCC1),餚,(U+991A),unihan_simplified;unihan_traditional,0,924
𬳂,(U+2CCC2),餟,(U+991F),unihan_simplified;unihan_traditional,0,39
𬳅,(U+2CCC5),䭉,(U+4B49),unihan_simplified;unihan_traditional,0,14
𬳊,(U+2CCCA),饀,(U+9940),unihan_simplified;unihan_traditional,0,388
𬳌,(U+2CCCC),𩝠,(U+29760),unihan_simplified;unihan_traditional,0,1
𬳍,(U+2CCCD),餹,(U+9939),unihan_simplified;unihan_traditional,0,36
𬳐,(U+2CCD0),𩞉,(U+29789),unihan_simplified;unihan_traditional,0,1
𬳔,(U+2CCD4),𩟠,(U+297E0),unihan_simplified;unihan_traditional,0,3
𬳟,(U+2CCDF),馩,(U+99A9),unihan_simplified;unihan_traditional,0,11
𬳳,(U+2CCF3),颿,(U+98BF),unihan_simplified;unihan_traditional,0,92
𬯀,(U+2CBC0),隮,(U+96AE),opencc_s2t;unihan_simplified;unihan_traditional,0,40
𬴨,(U+2CD28),𩯆,(U+29BC6),unihan_simplified;unihan_traditional,0,1
𬴐,(U+2CD10),驩,(U+9A69),unihan_simplified;unihan_traditional,0,404
𬴎,(U+2CD0E),𩧐,(U+299D0),unihan_simplified;unihan_traditional,0,36
𬴍,(U+2CD0D),䮽,(U+4BBD),unihan_simplified;unihan_traditional,0,19
𬴋,(U+2CD0B),驖,(U+9A56),unihan_simplified;unihan_traditional,0,2
𬴊,(U+2CD0A),驎,(U+9A4E),opencc_s2t;unihan_simplified;unihan_traditional,0,512
𬴃,(U+2CD03),騞,(U+9A1E),opencc_s2t;unihan_simplified;unihan_traditional,0,15
𬳴,(U+2CCF4),駍,(U+99CD),unihan_simplified;unihan_traditional,0,11
𬳿,(U+2CCFF),駼,(U+99FC),opencc_s2t;unihan_simplified;unihan_traditional,0,66
𬳽,(U+2CCFD),駪,(U+99EA),opencc_s2t;unihan_simplified;unihan_traditional,0,3
𬳻,(U+2CCFB),𩢼,(U+298BC),unihan_simplified;unihan_traditional,0,4
𬳺,(U+2CCFA),𩢲,(U+298B2),unihan_simplified;unihan_traditional,0,6
𬳹,(U+2CCF9),𩣔,(U+298D4),unihan_simplified;unihan_traditional,0,2
𬳷,(U+2CCF7),𩢍,(U+2988D),unihan_simplified;unihan_traditional,0,3
𬳶,(U+2CCF6),駉,(U+99C9),opencc_s2t;unihan_simplified;unihan_traditional,0,31
𬳵,(U+2CCF5),駓,(U+99D3),opencc_s2t;unihan_simplified;unihan_traditional,0,8
𬴂,(U+2CD02),騑,(U+9A11),opencc_s2t;unihan_simplified;unihan_traditional,0,111
𬱟,(U+2CC5F),頠,(U+9820),opencc_s2t;unihan_simplified;unihan_traditional,0,417
𬱞,(U+2CC5E),𠽸,(U+20F78),unihan_simplified;unihan_traditional,0,2
𬱜,(U+2CC5C),頛,(U+981B),unihan_simplified;unihan_traditional,0,1
𬱛,(U+2CC5B),𩔊,(U+2950A),unihan_simplified;unihan_traditional,0,8
𬱚,(U+2CC5A),𬱂,(U+2CC42),unihan_simplified;unihan_traditional,0,1
𬱙,(U+2CC59),頖,(U+9816),unihan_simplified;unihan_traditional,0,13
𬱗,(U+2CC57),頕,(U+9815),unihan_simplified;unihan_traditional,0,2
𬲱,(U+2CCB1),𮨻,(U+2EA3B),unihan_simplified;unihan_traditional,0,2
𬱔,(U+2CC54),𩑣,(U+29463),unihan_simplified;unihan_traditional,0,7
𬱓,(U+2CC53),頄,(U+9804),unihan_simplified;unihan_traditional,0,1
𬰳,(U+2CC33),䪓,(U+4A93),unihan_simplified;unihan_traditional,0,2
𬰲,(U+2CC32),𩘚,(U+2961A),unihan_simplified;unihan_traditional,0,3
𬰥,(U+2CC25),䩫,(U+4A6B),unihan_simplified;unihan_traditional,0,28
𬰤,(U+2CC24),𩋰,(U+292F0),unihan_simplified;unihan_traditional,0,7
𬯎,(U+2CBCE),隤,(U+96A4),opencc_s2t;unihan_simplified;unihan_traditional,0,441
𬯅,(U+2CBC5),陿,(U+967F),unihan_simplified;unihan_traditional,0,622
