simp,simp_cp,trad,trad_cp,relation_type,simp_hits_norm,trad_hits_norm
强,(U+5F3A),強,(U+5F37),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,490,36384
禀,(U+7980),稟,(U+7A1F),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,485,11896
宝,(U+5B9D),寶,(U+5BF6),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,483,263841
讃,,讚,,,483,72070
凭,(U+51ED),憑,(U+6191),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,475,12763
䖏,,處,,,472,623428
声,(U+58F0),聲,(U+8072),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,469,288498
榖,,穀,,,452,14921
麽,(U+9EBD),麼,(U+9EBC),,440,237131
韵,(U+97F5),韻,(U+97FB),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,440,16292
麽,(U+9EBD),麼,(U+9EBC),opencc_s2t,440,237131
覚,,覺,,,437,339279
㝎,,定,,,433,404229
卧,(U+5367),臥,(U+81E5),opencc_s2t;tw_simplified_to_traditional,432,36407
麦,(U+9EA6),麥,(U+9EA5),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,413,7368
辤,,辭,,,411,50622
軆,,體,,,410,303923
鉄,U+9244,鐵,(U+9435),,405,37774
禅,(U+7985),禪,(U+79AA),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,397,356527
経,,經,,,392,843885
宼,,寇,,,390,9354
内,,內,,,388,220484
灮,,光,,,387,314215
数,(U+6570),數,(U+6578),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,380,218465
吴,(U+5434),吳,(U+5433),opencc_s2t;tw_simplified_to_traditional;unihan_simplified;unihan_traditional,371,38338
従,,從,,,365,456189
㽞,,留,,,356,55033
堕,(U+5815),墮,(U+58AE),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,341,75863
竆,,窮,,,338,58984
逰,,遊,,,335,72052
学,(U+5B66),學,(U+5B78),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,330,294044
辞,(U+8F9E),辭,(U+8FAD),mainland_traditional;opencc_s2t;unihan_simplified;unihan_traditional,327,50622
宄,,究,,,324,81776
観,,觀,,,317,499313
㓕,,滅,,,309,390124
