source_file,title,KR_ID,EXTENT,SOURCE,author_index,person_name,DATES,DYNASTY,FUNCTION
skqs1.org,周易義海撮要,KR1a0034,12 卷,"四庫全書 文淵閣版, V13.2, p275",1,李衡,1100 - 1178,宋,撰
skqs1.org,南軒易說,KR1a0035,3 卷,"四庫全書 文淵閣版, V13.3, p625",1,張栻,1133 - 1180,宋,撰
skqs1.org,復齋易說,KR1a0036,6 卷,"四庫全書 文淵閣版, V13.4, p681",1,趙彥肅,,宋,撰
skqs1.org,楊氏易傳,KR1a0037,20 卷,"四庫全書 文淵閣版, V14.1, p1",1,楊簡,1140 - 1225,宋,撰
skqs1.org,周易玩辭,KR1a0038,16 卷,"四庫全書 文淵閣版, V14.2, p215",1,項安世,1146 - 1208,宋,述
skqs1.org,趙氏易說,KR1a0039,4 卷,"四庫全書 文淵閣版, V14.3, p449",1,趙善譽,1143 - 1189,宋,撰
skqs1.org,誠齋易傳,KR1a0040,20 卷,"四庫全書 文淵閣版, V14.4, p513",1,楊萬里,1124 - 1206,宋,撰
skqs1.org,大易粹言,KR1a0041,73 卷,"四庫全書 文淵閣版, V15.1, p1",1,方聞一,,宋,編
skqs1.org,易圖說,KR1a0042,3 卷,"四庫全書 文淵閣版, V15.2, p753",1,吳仁傑,b. 1137,宋,撰
skqs1.org,古周易,KR1a0043,1 卷,"四庫全書 文淵閣版, V15.3, p779",1,呂祖謙,1137 - 1181,宋,編
skqs1.org,易傳燈,KR1a0044,4 卷,"四庫全書 文淵閣版, V15.4, p809",1,徐總幹,,宋,撰
skqs1.org,易裨傳,KR1a0045,2 卷,"四庫全書 文淵閣版, V15.5, p851",1,林至,,宋,撰
skqs1.org,厚齋易學,KR1a0046,50 卷,"四庫全書 文淵閣版, V16.1, p1",1,馮椅,fl. 1217,宋,撰
skqs1.org,童溪易傳,KR1a0047,30 卷,"四庫全書 文淵閣版, V17.1, p1",1,王宗傳,,宋,撰
skqs1.org,周易總義,KR1a0048,20 卷,"四庫全書 文淵閣版, V17.2, p379",1,易祓,,宋,撰
skqs1.org,西谿易說,KR1a0049,12 卷,"四庫全書 文淵閣版, V17.3, p621",1,李過,,宋,撰
skqs1.org,丙子學易編,KR1a0050,1 卷,"四庫全書 文淵閣版, V17.4, p775",1,李心傳,1166 - 1243,宋,撰
skqs1.org,易通,KR1a0051,6 卷,"四庫全書 文淵閣版, V17.5, p797",1,趙以夫,d. 1256,宋,撰
skqs1.org,周易赴爻經傳訓解,KR1a0052,2 卷,"四庫全書 文淵閣版, V18.1, p1",1,蔡淵,1148 - 1236,宋,撰
skqs1.org,易象意言,KR1a0053,1 卷,"四庫全書 文淵閣版, V18.2, p107",1,蔡淵,1148 - 1236,宋,撰
skqs1.org,周易要義,KR1a0054,10 卷,"四庫全書 文淵閣版, V18.3, p123",1,魏了翁,1178 - 1237,宋,輯
skqs1.org,易翼傳,KR1a0055,2 卷,"四庫全書 文淵閣版, V18.4, p303",1,鄭汝諧,fl. 1194,宋,撰
skqs1.org,文公易說,KR1a0056,23 卷,"四庫全書 文淵閣版, V18.5, p415",1,朱鑑,1190 - 1258,宋,編
skqs1.org,易學啟蒙小傳,KR1a0057,1 卷,"四庫全書 文淵閣版, V19.1, p1",1,稅與權,,宋,撰
skqs1.org,周易輯聞,KR1a0058,6 卷,"四庫全書 文淵閣版, V19.2, p25",1,趙汝楳,,宋,撰
skqs1.org,用易詳解,KR1a0059,16 卷,"四庫全書 文淵閣版, V19.3, p349",1,李杞,fl. 1203,宋,撰
skqs1.org,淙山讀周易,KR1a0060,21 卷,"四庫全書 文淵閣版, V19.4, p573",1,方實孫,,宋,撰
skqs1.org,周易傳義附錄,KR1a0061,14 卷,"四庫全書 文淵閣版, V20.1, p1",1,董楷,,宋,撰
skqs1.org,易學啟蒙通釋,KR1a0062,2 卷,"四庫全書 文淵閣版, V20.2, p653",1,胡方平,,宋,撰
skqs1.org,三易備遺,KR1a0063,10 卷,"四庫全書 文淵閣版, V20.3, p741",1,朱元昇,,宋,撰
skqs1.org,周易集說,KR1a0064,40 卷,"四庫全書 文淵閣版, V21.1, p1",1,俞琰,1258 - 1314,宋,撰
skqs1.org,讀易舉要,KR1a0065,4 卷,"四庫全書 文淵閣版, V21.2, p395",1,俞琰,1258 - 1314,宋,撰
skqs1.org,易象義,KR1a0066,16 卷,"四庫全書 文淵閣版, V21.3, p473",1,丁易東,,宋,撰
skqs1.org,易圖通變,KR1a0067,5 卷,"四庫全書 文淵閣版, V21.4, p789",1,雷思齊,1230 - 1301,宋,撰
skqs1.org,讀易私言,KR1a0068,1 卷,"四庫全書 文淵閣版, V22.1, p1",1,許衡,1209 - 1281,元,撰
skqs1.org,易附錄纂註,KR1a0069,15 卷,"四庫全書 文淵閣版, V22.2, p9",1,胡一桂,,元,撰
skqs1.org,周易啟蒙翼傳,KR1a0070,4 卷,"四庫全書 文淵閣版, V22.3, p199",1,胡一桂,,元,撰
skqs1.org,易纂言,KR1a0071,12 卷,"四庫全書 文淵閣版, V22.4, p399",1,吳澄,1249 - 1331,元,撰
skqs1.org,易纂言外翼,KR1a0072,8 卷,"四庫全書 文淵閣版, V22.5, p595",1,吳澄,1249 - 1331,元,撰
skqs1.org,易源奧義,KR1a0073,1 卷,"四庫全書 文淵閣版, V22.6, p697",1,保巴,,元,撰
skqs1.org,周易程朱傳義折衷,KR1a0074,33 卷,"四庫全書 文淵閣版, V23.1, p1",1,趙采,,元,撰
skqs1.org,周易衍義,KR1a0075,16 卷,"四庫全書 文淵閣版, V23.2, p447",1,胡震,fl. 1305,元,撰
skqs1.org,周易衍義,KR1a0075,16 卷,"四庫全書 文淵閣版, V23.2, p447",2,胡光大,,元,續
skqs1.org,易學濫觴,KR1a0076,1 卷,"四庫全書 文淵閣版, V24.1, p1",1,黃澤,1260 - 1346,元,撰
skqs1.org,大易緝說,KR1a0077,10 卷,"四庫全書 文淵閣版, V24.2, p17",1,王申子,,元,撰
skqs1.org,周易本義通釋,KR1a0078,12 卷,"四庫全書 文淵閣版, V24.3, p305",1,胡炳文,1250 - 1333,元,撰
skqs1.org,周易本義集成,KR1a0079,12 卷,"四庫全書 文淵閣版, V24.4, p577",1,熊良輔,,元,撰
skqs1.org,大易象數鈎深圖,KR1a0080,3 卷,"四庫全書 文淵閣版, V25.1, p1",1,張理,,元,撰
skqs1.org,學易記,KR1a0081,9 卷,"四庫全書 文淵閣版, V25.2, p97",1,李簡,,元,撰
skqs1.org,周易集傳,KR1a0082,8 卷,"四庫全書 文淵閣版, V25.3, p417",1,龍仁夫,fl. 1321,元,撰
skqs1.org,讀易考原,KR1a0083,1 卷,"四庫全書 文淵閣版, V25.4, p509",1,蕭漢中,,元,撰
skqs1.org,易精蘊大義,KR1a0084,12 卷,"四庫全書 文淵閣版, V25.5, p537",1,解蒙,,元,撰
skqs1.org,易學變通,KR1a0085,6 卷,"四庫全書 文淵閣版, V26.1, p1",1,曾貫,,元,撰
skqs1.org,周易會通,KR1a0086,14 卷,"四庫全書 文淵閣版, V26.2, p69",1,董真卿,,元,撰
skqs1.org,周易圖說,KR1a0087,2 卷,"四庫全書 文淵閣版, V26.3, p617",1,錢義方,fl. 1346,元,撰
skqs1.org,周易爻變易縕,KR1a0088,8 卷,"四庫全書 文淵閣版, V27.1, p1",1,陳應潤,,元,撰
skqs1.org,周易參義,KR1a0089,12 卷,"四庫全書 文淵閣版, V27.2, p195",1,梁寅,1303 - 1389,元,撰
skqs1.org,周易文詮,KR1a0090,4 卷,"四庫全書 文淵閣版, V27.3, p423",1,趙汸,1319 - 1469,元,撰
skqs1.org,周易傳義大全,KR1a0091,24 卷,"四庫全書 文淵閣版, V28.1, p1",1,胡廣,1370 - 1418,明,奉敕撰
skqs1.org,易經蒙引,KR1a0092,12 卷,"四庫全書 文淵閣版, V29.1, p1",1,蔡清,1453 - 1508,明,撰
skqs1.org,讀易餘言,KR1a0093,5 卷,"四庫全書 文淵閣版, V30.1, p1",1,崔銑,1478 - 1541,明,撰
skqs1.org,啟蒙意見,KR1a0094,4 卷,"四庫全書 文淵閣版, V30.2, p95",1,韓邦奇,1479 - 1555,明,撰
skqs1.org,易經存疑,KR1a0095,12 卷,"四庫全書 文淵閣版, V30.3, p195",1,林希元,ca. 1480 - ca. 1560,明,撰
skqs1.org,周易辯錄,KR1a0096,4 卷,"四庫全書 文淵閣版, V31.1, p1",1,楊爵,1493 - 1549,明,撰
skqs1.org,易像鈔,KR1a0097,18 卷,"四庫全書 文淵閣版, V31.2, p131",1,胡居仁,1434 - 1484,明,撰
skqs1.org,周易象旨決錄,KR1a0098,7 卷,"四庫全書 文淵閣版, V31.3, p421",1,熊過,,明,撰
skqs1.org,易象鈎解,KR1a0099,4 卷,"四庫全書 文淵閣版, V31.4, p651",1,陳士元,,明,撰
skqs1.org,周易集註,KR1a0100,16 卷,"四庫全書 文淵閣版, V32.1, p1",1,來知德,1525 - 1604,明,撰
skqs1.org,讀易紀聞,KR1a0101,6 卷,"四庫全書 文淵閣版, V32.2, p429",1,張獻翼,,明,撰
skqs1.org,葉八白易傳,KR1a0102,16 卷,"四庫全書 文淵閣版, V32.3, p585",1,葉山,,明,撰
skqs1.org,讀易述,KR1a0103,17 卷,"四庫全書 文淵閣版, V33.1, p1",1,潘士藻,1537 - 1600,明,撰
skqs1.org,像象管見,KR1a0104,9 卷,"四庫全書 文淵閣版, V33.2, p559",1,錢一本,1539 - 1610,明,撰
skqs1.org,周易劄記,KR1a0105,3 卷,"四庫全書 文淵閣版, V34.1, p1",1,逯中立,,明,撰
skqs1.org,周易易簡說,KR1a0106,3 卷,"四庫全書 文淵閣版, V34.2, p67",1,高攀龍,1562 - 1626,明,撰
skqs1.org,易義古象通,KR1a0107,8 卷,"四庫全書 文淵閣版, V34.3, p171",1,魏濬,fl. 1612,明,撰
skqs1.org,周易像象述,KR1a0108,10 卷,"四庫全書 文淵閣版, V34.4, p369",1,吳桂森,fl. 1625,明,撰
skqs1.org,易用,KR1a0109,6 卷,"四庫全書 文淵閣版, V35.1, p1",1,陳祖念,,明,撰
skqs1.org,易象正,KR1a0110,16 卷,"四庫全書 文淵閣版, V35.2, p101",1,黃道周,1585 - 1646,明,撰
skqs1.org,兒易內儀以,KR1a0111,6 卷,"四庫全書 文淵閣版, V35.3, p457",1,倪元璐,1594 - 1644,明,撰
skqs1.org,卦變考略,KR1a0112,2 卷,"四庫全書 文淵閣版, V35.4, p651",1,董守諭,1596 - 1664,明,撰
skqs1.org,古周易訂詁,KR1a0113,16 卷,"四庫全書 文淵閣版, V36.1, p1",1,何楷,,明,撰
