docclass,title,author,geo,geo_latitude,geo_longitude,docclass,doc_category_l1,doc_category_l2,doc_category_l3,time_dynasty,date_not_before,date_not_after,metadata/title.hanzi,metadata/title.hanyupinyin,metadata/Name,metadata/Name.Hanyupinyin,metadata/Function,metadata/styles.hao,metadata/CourtesyName.zi,metadata/PosthumousTitle.shi,metadata/AuthorDates,metadata/TotalJuan,metadata/Genre1,metadata/Genre2,metadata/Genre3,metadata/Place,metadata/GISCode,,metadata/Notes
DZ0018,太上虛皇天尊四十九章經,,,,,,Lingbao,Scriptures,,,,,太上虛皇天尊四十九章經,Taishang xuhuang tianzun sishijiu zhang jing,,,,,,,,1,Lingbao,Scriptures,,,,,
DZ0019,太上昇玄消災護命妙經,,,,,,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,Tang ,618,907,太上昇玄消災護命妙經,Taishang shengxuan xiaozai huming miaojing ,,,,,,,,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0019,太上昇玄消災護命妙經,宋真宗,,,,序,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,太上昇玄消災護命妙經,Taishang shengxuan xiaozai huming miaojing ,宋真宗,Song Zhenzong,序,,,,r. 997-1022,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0019,太上昇玄消災護命妙經,李道純,,,,注,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,太上昇玄消災護命妙經,Taishang shengxuan xiaozai huming miaojing ,李道純,Li Daochun,注,清菴、瑩蟾,元素,,fl.1288-1306,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0019,太上昇玄消災護命妙經,王玠,,,,注,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,太上昇玄消災護命妙經,Taishang shengxuan xiaozai huming miaojing ,王玠,Wang Jie,注,,,,,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0019,太上昇玄消災護命妙經,張白,,,,注,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,Second half of tenth century,951,1000,太上昇玄消災護命妙經,Taishang shengxuan xiaozai huming miaojing ,張白,Zhang Bo,注,白雲子,虛白,,,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0020,三光注齡資福延壽妙經,,,,,,Other Popular Cults,The Cult of the Northern Dipper,,,,,三光注齡資福延壽妙經,Sanguang zhuling zifo yanshou miaojing,,,,,,,,1,Other Popular Cults,The Cult of the Northern Dipper,,,,,
DZ0021,太上長生延壽集福德經,,,,,,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,Tang,618,907,太上長生延壽集福德經,Taishang changsheng yanshou ji fude jing,,,,,,,,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0022,元始五老赤書玉篇真文天書經,葛巢甫,句容,"31,9453","119,1717",,Lingbao Canon,Canonical Lingbao Scriptures,,,395,405,元始五老赤書玉篇真文天書經,Yuanshi wulao chishu yupian zhenwen tianshu jing,葛巢甫,Ge Chaofu,,,,,402,3,Lingbao Canon,Canonical Lingbao Scriptures,,句容,PL000000011098,MSB Daterange,
DZ0023,太上諸天靈書度命妙經,,,,,,Lingbao Canon,Canonical Lingbao Scriptures,,,395,405,太上諸天靈書度命妙經,Taishang zhutian lingshu duming miaojing ,,,,,,,,1,Lingbao Canon,Canonical Lingbao Scriptures,,,,MSB Daterange,
DZ0024,元始天尊說生天得道經,,,,,,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,Tang,618,907,元始天尊說生天得道經,Yuanshi tianzun shuo shengtian dedao jing,,,,,,,,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0025,元始天尊説得道了身經,,,,,,The Quanzhen Order,Individual Practice,,,,,元始天尊説得道了身經,Yuanshi tianzun shuo dedao liaoshen jing,,,,,,,,1,The Quanzhen Order,Individual Practice,,,,,
