docclass,title,author,geo,geo_latitude,geo_longitude,docclass,doc_category_l1,doc_category_l2,doc_category_l3,time_dynasty,date_not_before,date_not_after,metadata/title.hanzi,metadata/title.hanyupinyin,metadata/Name,metadata/Name.Hanyupinyin,metadata/Function,metadata/styles.hao,metadata/CourtesyName.zi,metadata/PosthumousTitle.shi,metadata/AuthorDates,metadata/TotalJuan,metadata/Genre1,metadata/Genre2,metadata/Genre3,metadata/Place,metadata/GISCode,,metadata/Notes
DZ0355,太上洞玄靈寶福日妙經,,,,,,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,Tang,618,907,太上洞玄靈寶福日妙經,Taishang dongxuan lingbao furi miaojing,,,,,,,,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0356,洞玄靈寶上師說救護身命經,,,,,,Lingbao Canon,Other Early Lingbao Scriptures,,Six Dynasties,220,589,洞玄靈寶上師說救護身命經,Dongxuan lingbao shangshi shuo jiuhu shenming jing,,,,,,,,1,Lingbao Canon,Other Early Lingbao Scriptures,,,,,
DZ0357,太上靈寶天尊說禳災度厄經,,,,,,Lingbao,Scriptures,,,,,太上靈寶天尊說禳災度厄經,Taishang lingbao tianzun shuo rangzai due jing,,,,,,,,1,Lingbao,Scriptures,,,,,
DZ0358,太上神咒延壽妙經,,,,,,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,Tang,618,907,太上神咒延壽妙經,Taishang shenzhou yanshou miaojing,,,,,,,,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0359,太上洞玄靈寶消禳火災經,,,,,,Lingbao,Scriptures,,Song or later,960,1279,太上洞玄靈寶消禳火災經,Taishang dongxuan lingbao xiaorang huozai jing,,,,,,,,1,Lingbao,Scriptures,,,,,
DZ0360,太上洞玄靈寶天尊說養蠶營種經,,,,,,Zhengyi,Scriptures,,,,,太上洞玄靈寶天尊說養蠶營種經,Taishang dongxuan lingbao tianzun shuo yangcan yingzhong jing,,,,,,,,1,Zhengyi,Scriptures,,,,,
DZ0361,太上洞玄靈寶八威召龍妙經,,,,,,Lingbao Canon,Other Early Lingbao Scriptures,,Sixth century,,,太上洞玄靈寶八威召龍妙經,Taishang dongxuan lingbao bawei zhaolong miaojing ,,,,,,,,2,Lingbao Canon,Other Early Lingbao Scriptures,,,,,
DZ0362,太上洞玄說請雨龍王經,,,,,,Dongyuan and Shengxuan Scriptures and Rituals,The Dongyuan shenzhou jing,,,,,太上洞玄說請雨龍王經,Taishang dongxuan shuo qingyu longwang jing,,,,,,,,1,Dongyuan and Shengxuan Scriptures and Rituals,The Dongyuan shenzhou jing,,,,,
DZ0363,太上召諸神龍安鎮墳墓經,,,,,,Zhengyi,Scriptures,,,,,太上召諸神龍安鎮墳墓經,Taishang zhao zhu shenlong anzhen fenmu jing,,,,,,,,1,Zhengyi,Scriptures,,,,,
DZ0364,太上靈寶補謝竈王經,,,,,,Zhengyi,Scriptures,,,,,太上靈寶補謝竈王經,Taishang linghao buxie zaowang jing ,,,,,,,,1,Zhengyi,Scriptures,,,,,
DZ0365,太上說利益蠶王妙經,,,,,,Zhengyi,Scriptures,,,,,太上說利益蠶王妙經,Taishang shuo liyi canwang miaojing,,,,,,,,1,Zhengyi,Scriptures,,,,,
DZ0366,太上說牛癀妙經,,,,,,Zhengyi,Scriptures,,,,,太上說牛癀妙經,Taishang shuo niuhuang miaojing,,,,,,,,1,Zhengyi,Scriptures,,,,,
DZ0367,上清洞玄明燈上經,,,,,,Zhengyi,Lamp Rituals,,,,,上清洞玄明燈上經,Shangqing dongxuan mingdeng shangjing,,,,,,,,1,Zhengyi,Lamp Rituals,,,,,
DZ0368,太上洞玄寶元上經,,,,,,Philosophy,Treatises and Essays,,,,,太上洞玄寶元上經,Taishang dongxuan baoyuan shangjing ,,,,,,,,1,Philosophy,Treatises and Essays,,,,,
DZ0369,太上洞玄靈寶滅度五鍊生尸妙經,,,,,,Lingbao Canon,Canonical Lingbao Scriptures,,Six Dynasties,220,589,太上洞玄靈寶滅度五鍊生尸妙經,Taishang dongxuan lingbao miedu wulian shengshi miaojing,,,,,,,,1,Lingbao Canon,Canonical Lingbao Scriptures,,,,,
DZ0370,太上洞玄靈寶三元玉京玄都大獻經,,,,,,Lingbao Canon,Other Early Lingbao Scriptures,,Six Dynasties,220,589,太上洞玄靈寶三元玉京玄都大獻經,Taishang dongxuan lingbao sanyuan yujing xuandu daxian jing,,,,,,,,1,Lingbao Canon,Other Early Lingbao Scriptures,,,,,
DZ0371,太上洞玄靈寶三塗五苦拔度生死妙經,,,,,,Lingbao,Scriptures,Medium-Length Scriptures,Tang,618,907,太上洞玄靈寶三塗五苦拔度生死妙經,Taishang dongxuan lingbao santu wuku badu shengsi miaojing,,,,,,,,1,Lingbao,Scriptures,Medium-Length Scriptures,,,,
DZ0372,太上道君說解冤拔度妙經,,,,,,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,Tang,618,907,太上道君說解冤拔度妙經,Taishang daojun shuo jieyuan badu miaojing,,,,,,,,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0373,太上洞玄靈寶往生救苦妙經,,,,,,Lingbao,Scriptures,Medium-Length Scriptures,Tang,618,907,太上洞玄靈寶往生救苦妙經,Taishang dongxuan lingbao wangsheng jiuku miaojing,,,,,,,,1,Lingbao,Scriptures,Medium-Length Scriptures,,,,
DZ0374,太上洞玄靈寶救苦妙經,趙子俅,,,,後記,Lingbao,Scriptures,,,1124,,太上洞玄靈寶救苦妙經,Taishang dongxuan lingbao jiuku miaojing,趙子俅,Zhao Ziqiu,後記,,,,,1,Lingbao,Scriptures,,,,,
DZ0375,太上洞玄靈寶天尊說濟苦經,,,,,,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,Tang,618,907,太上洞玄靈寶天尊說濟苦經,Taishang dongxuan lingbao tianzun shuo jiku jing,,,,,,,,1,Lingbao,Scriptures,Short Doctrinal and Prophylactic Texts,,,,
DZ0376,太上洞玄靈寶凈供妙經,葛玄,句容,"31,9453","119,1717",輯佚,Lingbao,Scriptures,Medium-Length Scriptures,Tang,618,907,太上洞玄靈寶凈供妙經,Taishang dongxuan lingbao jinggong miaojing,葛玄,Ge Xuan,輯佚,,教先,,164-244,1,Lingbao,Scriptures,Medium-Length Scriptures,句容,PL000000011100,,
DZ0377,太上靈寶洪福滅罪像名經,,,,,,The Qingwei School,,,,,,太上靈寶洪福滅罪像名經,Taishang linghao hongfu miezui xiangming jing,,,,,,,,1,The Qingwei School,,,,,,
DZ0378,太上救苦天尊說消愆滅罪經,,,,,,Lingbao,Scriptures,,,,,太上救苦天尊說消愆滅罪經,Taishang jiuku tianzun shuo xiaoqian miezui jing,,,,,,,,1,Lingbao,Scriptures,,,,,
DZ0379,太上說酆都拔苦愈樂妙經,,,,,,Lingbao,Scriptures,,,,,太上說酆都拔苦愈樂妙經,Taishang shuo Fengdu baku yule miaojing,,,,,,,,1,Lingbao,Scriptures,,,,,
DZ0380,洞玄靈寶道要經,,,,,,Lingbao,Scriptures,Medium-Length Scriptures,Tang,618,907,洞玄靈寶道要經,Dongxuan lingbao daoyao jing,,,,,,,,1,Lingbao,Scriptures,Medium-Length Scriptures,,,,
DZ0381,洞玄靈寶飛仙上品妙經,,,,,,Other Revealed Scriptures,-,,Six Dynasties,220,589,洞玄靈寶飛仙上品妙經,Dongxuan lingbao feixian shangpin miaojing,,,,,,,,1,Other Revealed Scriptures,-,,,,,
DZ0382,太上靈寶天尊說延壽妙經,,,,,,Lingbao,Scriptures,,,,,太上靈寶天尊說延壽妙經,Taishang lingbao tianzun shuo yanshou miaojing ,,,,,,,,1,Lingbao,Scriptures,,,,,
DZ0383,太上七星神咒經,,,,,,Zhengyi,Scriptures,,,,,太上七星神咒經,Taishang qixing shenzhou jing,,,,,,,,1,Zhengyi,Scriptures,,,,,
DZ0384,太上虛皇保生神咒經,,,,,,Zhengyi,Scriptures,,,,,太上虛皇保生神咒經,Taishang xuhuang baosheng shenzhou jing,,,,,,,,1,Zhengyi,Scriptures,,,,,
DZ0385,太上洞玄三洞開天風雷禹步制魔神咒經,,,,,,Lingbao,"
Rituals and Rules",,Tang,618,907,太上洞玄三洞開天風雷禹步制魔神咒經,Taishang dongxuan sandong kaitian fenglei yubu zhimo shenzhou jing,,,,,,,,1,Lingbao,"
Rituals and Rules",,,,,
DZ0386,太上洞淵三昧帝心光明正印太極紫微伏魔制鬼拯救惡道集福吉祥神咒,,,,,,Dongyuan and Shengxuan Scriptures and Rituals,The Dongyuan shenzhou jing,,Tang,618,907,太上洞淵三昧帝心光明正印太極紫微伏魔制鬼拯救惡道集福吉祥神咒,Taishang dongyuan sanmei dixin guangming zhengyin taiji ziwei fumo zhigui zhengjiu edao jifu jixiang shenzhou,,,,,,,,1,Dongyuan and Shengxuan Scriptures and Rituals,The Dongyuan shenzhou jing,,,,,
DZ0387,太上三生解冤妙經,,,,,,Zhengyi,Scriptures,,,,,太上三生解冤妙經,Taishang sansheng jieyuan miaojing,,,,,,,,1,Zhengyi,Scriptures,,,,,
DZ0388,太上靈寶五符序,,,,,,Lingbao Canon,Canonical Lingbao Scriptures,,Eastern Jin,317,420,太上靈寶五符序,Taishang lingbao wufu xu,,,,,,,,3,Lingbao Canon,Canonical Lingbao Scriptures,,,,,
DZ0389,太上洞玄靈寶素靈真符,陸修靜,,,,撰,The Orthodox One Way of the Heavenly Master ,Rituals,,,,,太上洞玄靈寶素靈真符,Taishang dongxuan lingbao suling zhenfu,陸修靜,Lu Xiujing,撰,,元德,簡寂先生、丹元真人,406-477,3,The Orthodox One Way of the Heavenly Master ,Rituals,,,,,
DZ0389,太上洞玄靈寶素靈真符,杜光庭,,,,撰、序,The Orthodox One Way of the Heavenly Master ,Rituals,,,913,,太上洞玄靈寶素靈真符,Taishang dongxuan lingbao suling zhenfu,杜光庭,Du Guangting ,撰、序,廣成先生；東瀛子；華頂、天姥峰羽人,賓聖,,850-933,3,The Orthodox One Way of the Heavenly Master ,Rituals,,,,,
DZ0390,太上洞玄靈寶五嶽神符,,,,,,Lingbao,Rituals and Rules ,,Tang,618,907,太上洞玄靈寶五嶽神符,Taishang dongxuan lingbao wuyue shenfu ,,,,,,,,1,Lingbao,Rituals and Rules ,,,,,
DZ0391,上清金母求仙上法,李玄真,遼東,,,撰,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,Tang,618,907,上清金母求仙上法,Shangqing jinmu qiuxian shangfa,李玄真,Li Xuanzhen,撰,,,,,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,遼東,,,
DZ0392,上清豁落七元符,,,,,,Dongzhen Division,The Shangqing Registers,,Tang,618,907,上清豁落七元符,Shangqing huoluo qiyuan fu ,,,,,,,,1,Dongzhen Division,The Shangqing Registers,,,,,
DZ0393,太上洞玄靈寶大綱鈔,閭丘方遠,,,,撰,Philosophy,Commentaries on Lingbao Scriptures,,,,,太上洞玄靈寶大綱鈔,Taishang dongxuan lingbao dagang chao,閭丘方遠,Lüqiu Fangyuan,撰,妙有大師、玄洞先生,大方,,902,1,Philosophy,Commentaries on Lingbao Scriptures,,,,,
DZ0394,上清太一金闕玉璽金真紀,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,Tang,618,907,上清太一金闕玉璽金真紀,Shangqing taiyi jinque yuxi jinzhen ji,,,,,,,,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0395,太上洞玄靈寶投簡符文要訣,,,,,,Lingbao Canon,Doctrinal and Liturgical Works,,Six Dynasties,220,589,太上洞玄靈寶投簡符文要訣,Taishang dongxuan lingbao toujian fuwen yaojue,,,,,,,,1,Lingbao Canon,Doctrinal and Liturgical Works,,,,"The work, based exclusively on the literature of the ancient Lingbao canon, may have been compiled at a considerably earlier date",
DZ0396,洞玄靈寶自然九天生神章經解義,董思靖,天慶觀，清源,"37,6107","112,3491",撰,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,,1252,,洞玄靈寶自然九天生神章經解義,Dongxuan lingbao ziran jiutian shengshen zhang jing jieyi,董思靖,Dong Sijing,撰,圭山,,,,4,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,天慶觀，清源,PL000000003828,,
DZ0397,洞玄靈寶自然九天生神玉章經解,王希巢,沖虛觀，緜州，四川,"31,4587","104,7578",撰,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,,1205,,洞玄靈寶自然九天生神玉章經解,Dongxuan lingbao ziran jiutian shengshen yuzhang jing jie,王希巢,Wang Xichao,撰,,隱賢,,,3,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,沖虛觀，緜州，四川,PL000000035413,,
DZ0398,洞玄靈寶自然九天生神玉章經註,華陽復,,,,撰,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,,,,洞玄靈寶自然九天生神玉章經註,Dongxuan lingbao ziran jiutian shengshen zhang jing zhu,華陽復,Hua Yangfu,撰,,,,,3,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,,,,
DZ0399,太上洞玄靈寶天尊說救苦妙經註解,呂氏,四明，浙江,"29,8649","121,5515",撰,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,,,,太上洞玄靈寶天尊說救苦妙經註解,Taishang dongxuan lingbao tianzun shuo jiuku miaojing zhujie,呂氏,Lü Dongyang Zi,撰,洞陽子,,,,1,Philosophy,"Commentaries on Zhengyi, Shangqing, and Lingbao Scriptures",,四明，浙江,PL000000012199,,
DZ0400,洞玄靈寶定觀經註,,,,,,Philosophy,Commentaries on Lingbao Scriptures,,Tang,618,907,洞玄靈寶定觀經註,Dongxuan lingbao dingguan jing zhu,,,,,,,,1,Philosophy,Commentaries on Lingbao Scriptures,,,,,
DZ0401,黃庭內景玉經註,劉處玄,東萊,"37,1743","119,9476",撰,Neidan and Yangsheng,General Works and Manuals,,,,,黃庭內景玉經註,Huangting neijing yujing zhu,劉處玄,Liu Chuxuan,撰,長生,通妙,,1147-1203,1,Neidan and Yangsheng,General Works and Manuals,,東萊,PL000000020932,,
DZ0402,黃庭內景玉經註,白履忠,,,,撰,Yangsheng,Miscellaneous Practices,,,,,黃庭內景玉經註,Huangting neijing yujing zhu,白履忠,Bo Lüzhong ,撰,梁丘子,,,fl.722-729,3,Yangsheng,Miscellaneous Practices,,,,,
DZ0403,黃庭內外玉景經解,白履忠,,,,撰,Yangsheng,Miscellaneous Practices,,,,,黃庭內外玉景經解,Huangting neiwai yujing jingjie ,白履忠,Bo Lüzhong ,撰,梁丘子,,,fl.722-729,2,Yangsheng,Miscellaneous Practices,,,,,
DZ0404,上清丹元玉真帝皇飛仙上經,,,,,,Shangqing,Scriptures,,,,,上清丹元玉真帝皇飛仙上經,Shangqing danyuan yuzhen dihuang feixian shangjing,,,,,,,,1,Shangqing,Scriptures,,,,,
DZ0405,上清紫精君皇初紫靈道君洞房上經,,,,,,Shangqing,Canonical Shangqing Scriptures,,Six Dynasties,220,589,上清紫精君皇初紫靈道君洞房上經,Shangqing zijing jun huangchu ziling daojun dongfang shangjing,,,,,,,,1,Shangqing,Canonical Shangqing Scriptures,,,,DZTK,
DZ0406,上清紫微帝君南極元君玉經寶訣,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,Tang,618,907,上清紫微帝君南極元君玉經寶訣,Shangqing ziwei dijun nanji yuanjun yujing baojue ,,,,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0407,靈寶大鍊內旨行持機要,,,,,,Lingbao,Manuals,,,,,靈寶大鍊內旨行持機要,Lingbao dalian neizhi xingchi jiyao ,,,,,,,,1,Lingbao,Manuals,,,,,
DZ0408,上清胎精記解結行事訣,楊羲,句容,"31,9453","119,1717",,Shangqing,Canonical Shangqing Scriptures,,Eastern Jin,363,370,上清胎精記解結行事訣,Shangjing taijing ji jiejie xingshi jue,楊羲,Yang Xi,,,羲和,,330-386,1,Shangqing,Canonical Shangqing Scriptures,,句容,PL000000011098,DZTK 165: it reproduces the essential passages from DZ1382,
DZ0409,上清華晨三奔玉訣,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,Tang,618,907,上清華晨三奔玉訣,Shangqing huachen sanben yujue,,,,,,,,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0410,太上洞玄靈寶眾簡文,陸修靜,,,,撰,Lingbao Canon,Doctrinal and Liturgical Works,,,406,477,太上洞玄靈寶眾簡文,Taishang dongxuan lingbao zhongjian wen,陸修靜,Lu Xiujing,撰,,元德,簡寂先生、丹元真人,406-477,1,Lingbao Canon,Doctrinal and Liturgical Works,,,,,
DZ0411,太上洞玄靈寶五帝醮祭招真玉訣,張承先,,,,編,Lingbao,Rituals and Rules ,,Tang,618,907,太上洞玄靈寶五帝醮祭招真玉訣,Taishang dongxuan lingbao wudi jiaoji zhaozhen yujue,張承先,Zhang Chengxian,編,,,,,1,Lingbao,Rituals and Rules ,,,,,
DZ0412,上清佩符文青券訣,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,上清佩符文青券訣,Shangqing pei fuwen qingquan jue,,,,,,,,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0413,上清佩符文白券訣,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,上清佩符文白券訣,Shangqing pei fuwen boquan jue,,,,,,,,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0414,上清佩符文絳券訣,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,上清佩符文絳券訣,Shangqing pei fuwen jiangquan jue,,,,,,,,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0415,上清佩符文黑券訣,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,上清佩符文黑券訣,Shangqing pei fuwen heiquan jue,,,,,,,,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0416,上清佩符文黃券訣,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,上清佩符文黃券訣,Shangqing pei fuwen huangquan jue,,,,,,,,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0417,太上大道三元品誡謝罪上法,,,,,,Lingbao Canon,Doctrinal and Liturgical Works,,Six Dynasties,220,589,太上大道三元品誡謝罪上法,Taishang dadao sanyuan pinjie xiezui shangfa,,,,,,,,1,Lingbao Canon,Doctrinal and Liturgical Works,,,,,
DZ0418,固氣還神九轉瓊丹論,,,,,,Yangsheng,Miscellaneous Practices,,Five Dynasties,907,960,固氣還神九轉瓊丹論,Guqi huanshen jiuzhuan qiongdan lun ,,,,,,,,1,Yangsheng,Miscellaneous Practices,,,,,
DZ0419,靈寶眾真丹訣,,,,,,Alchemy ,Laboratory Alchemy,,Tang,618,907,靈寶眾真丹訣,Lingbao zhongzhen danjue ,,,,,,,,1,Alchemy ,Laboratory Alchemy,,,,,
DZ0420,神仙服餌丹石行藥法,京里先生,,,,撰,Alchemy,-,,Six Dynasties,220,589,神仙服餌丹石行藥法,Shenxian fuer danshi xingyao fa,京里先生,Jingli Xiansheng,撰,,,,,1,Alchemy,-,,,,DZTK,
DZ0421,登真隱訣,陶弘景,,,,纂、注,Shangqing,Anthologies,,,492,514,登真隱訣,Dengzhen yinjue,陶弘景,Tao Hongjing,纂、注,華陽隱居,通明,,456-536,3,Shangqing,Anthologies,,,,,
DZ0422,上清三真旨要玉訣,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,Tang,618,907,上清三真旨要玉訣,Shangqing sanzhen zhiyao yujue,,,,,,,,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0423,上清洞真解過訣,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,Tang,618,907,上清洞真解過訣,Shangqing dongzhen jieguo jue,,,,,,,,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0424,上清明堂元真經訣,楊羲,句容,"31,9453","119,1717",,Shangqing,Anthologies,,Six Dynasties,363,370,上清明堂元真經訣,Shangqing mingtang yuanzhen jingjue,楊羲,Yang Xi,,,羲和,,330-386,1,Shangqing,Anthologies,,句容,PL000000011098,DZTK 206: We conclude that the present text is in all likelihood a fragment of 421 Dengzhen yinjue.,
DZ0425,上清太極隱注玉經寶訣,,,,,,Lingbao Canon,Canonical Lingbao Scriptures,,Six Dynasties ,220,589,上清太極隱注玉經寶訣,Shangqing taiji yinzhu yujing baojue,,,,,,,,1,Lingbao Canon,Canonical Lingbao Scriptures,,,,DZTK 234: belongs to those of the Lingbao canon transmitted to GE XUAN in eleven juan,
DZ0426,上清太上八素真經,,句容,"31,9453","119,1717",,Shangqing,Canonical Shangqing Scriptures,,Eastern Jin,317,420,上清太上八素真經,Shangqing taishang basu zhenjing,,,,,,,,1,Shangqing,Canonical Shangqing Scriptures,,句容,PL000000011098,"dztk 141: this text should have been incorporated
into 1323 Huanghua jue.",
DZ0427,上清修行經訣,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,Tang,618,907,上清修行經訣,Shangqing xiuxing jingjue,,,,,,,,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0428,太上飛行九晨玉經,,,,,,Shangqing,Canonical Shangqing Scriptures,,Six Dynasties,220,589,太上飛行九晨玉經,Taishang feixing jiuchen yujing,,,,,,,,1,Shangqing,Canonical Shangqing Scriptures,,,,DZTK 170: quoted in WSBYand SDZN,
DZ0429,上清長生寶鑑圖,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,Tang,618,907,上清長生寶鑑圖,Shangqing changsheng baojian tu,,,,,,,,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0430,上清八道祕言圖,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,Tang,618,907,上清八道祕言圖,Shangqing badao biyan tu,,,,,,,,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0431,上清含象劍鑑圖,司馬承禎,,,,撰,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,上清含象劍鑑圖,Shangqing hanxiang jianjian tu,司馬承禎,Sima Chengzhen ,撰,白雲子,子微,貞一,647-735,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0432,黃庭內景五臟六腑補瀉圖,胡愔,,,,撰,Yangsheng,Miscellaneous Practices,,,848,,黃庭內景五臟六腑補瀉圖,Huangting neijing wuzang liufu buxie tu,胡愔,Hu Yin ,撰,,,,,1,Yangsheng,Miscellaneous Practices,,,,,
DZ0433,七域修真證品圖,,,,,,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,Tang,618,907,七域修真證品圖,Qiyu xiuzhen zhengpin tu,,,,,,,,1,Dongzhen Division,"Manuals, Anthologies, and Encyclopedias",Practices,,,,
DZ0434,玄覽人鳥山經圖,,,,,,Sacred History and Geography,Sacred Annals and Records,,,,,玄覽人鳥山經圖,Xuanlan renniao shan jingtu ,,,,,,,,1,Sacred History and Geography,Sacred Annals and Records,,,,,
DZ0435,太上玉晨鬱儀結璘奔日月圖,,,,,,Shangqing,Scriptures,,Southern Song,1127,1279,太上玉晨鬱儀結璘奔日月圖,Taishang yuchen yuyi jielin ben riyue tu,,,,,,,,1,Shangqing,Scriptures,,,,,
DZ0436,上方大洞真元妙經品,明皇,,,,序,The Zhenyuan Scriptures,,,,,,上方大洞真元妙經品,Shangfang dadong zhenyuan miaojing pin ,明皇,Tang Minghuang (Emperor Xuanzong),序,,,,r. 712-7S6,1,The Zhenyuan Scriptures,,,,,,
DZ0437,上方大洞真元妙經圖,,,,,,The Zhenyuan Scriptures,,,,,,上方大洞真元妙經圖,Shangfang dadong zhenyuan miaojing tu ,,,,,,,,1,The Zhenyuan Scriptures,,,,,,
DZ0438,上方大洞真元陰陽陟降圖書後解,,,,,,The Zhenyuan Scriptures,,,,,,上方大洞真元陰陽陟降圖書後解,Shangfang dadong zhenyuan yinyang zhijiang tushu houjie,,,,,,,,1,The Zhenyuan Scriptures,,,,,,
DZ0439,上方大洞真元圖書繼說終篇,,,,,,The Zhenyuan Scriptures,,,,,,上方大洞真元圖書繼說終篇,Shangfang dadong zhenyuan tushu jishuo zhongpian,,,,,,,,6ff.,The Zhenyuan Scriptures,,,,,,
DZ0440,許太史真君圖傳,,,,,,Sacred History and Geography,Hagiographies,,,,,許太史真君圖傳,Xu taishi zhenjun tuzhuan,,,,,,,,2,Sacred History and Geography,Hagiographies,,,,,
DZ0441,洞玄靈寶五嶽古本真形圖,東方朔,,,,撰,Other Popular Cults,Popular Rites,,Ming,1368,1644,洞玄靈寶五嶽古本真形圖,Dongxuan lingbao wuyue guben zhenxing tu,東方朔,Dongfang Shuo ,撰,,,,145-93 b.c.,1,Other Popular Cults,Popular Rites,,,,,
DZ0442,上清後聖道君列紀,楊羲,句容,"31,9453","119,1717",,Shangqing,Canonical Shangqing Scriptures,,Eastern Jin ,363,370,上清後聖道君列紀,Shangqing housheng daojun lieji,楊羲,Yang Xi,,,羲和,,330-386,1,Shangqing,Canonical Shangqing Scriptures,,句容,PL000000011098,DZTK 152: constitutes an important part of the original Shangqing revelation,
DZ0443,上清高上玉真眾道綜監寶諱,,,,,,Lingbao,Rituals and Rules ,,Tang,618,907,上清高上玉真眾道綜監寶諱,Shangqing gaoshang yuzhen zhongdao zongjian baohui ,,,,,,,,1,Lingbao,Rituals and Rules ,,,,,
DZ0444,洞玄靈寶三師記,劉處靜,,,,撰,Sacred History and Geography,Sacred Annals and Records,,,,,洞玄靈寶三師記,Dongxuan lingbao sanshi ji,劉處靜, Liu Chujing,撰,廣成先生,,,,1,Sacred History and Geography,Sacred Annals and Records,,,,,
DZ0445,洞玄靈寶三師名諱形狀居觀方所文,張萬福,,,,撰,The General Liturgical Organization of the Tang,,,,,,洞玄靈寶三師名諱形狀居觀方所文,Dongxuan lingbao sanshi minghui xingzhuang juguan fangsuo wen,張萬福,Zhang Wanfu ,撰,,,,fl. 711-713,1,The General Liturgical Organization of the Tang,,,,,,
DZ0446,上清眾經諸真聖祕,,,,,,Dongzhen Division,The Shangqing Registers,,,,,上清眾經諸真聖祕,Shangqing zhongjing zhuzhen shengbi,,,,,,,,8,Dongzhen Division,The Shangqing Registers,,,,,
DZ0447,許真君仙傳,,,,,,Sacred History and Geography,Hagiographies,,Yuan,1279,1368,許真君仙傳,Xu zhenjun xianzhuan,,,,,,,,1,Sacred History and Geography,Hagiographies,,,,,
DZ0448,西山許真人八十五化錄,,,,,,Sacred History and Geography,Hagiographies,,,,,西山許真人八十五化錄,Xishan Xu zhenren bashiwu hualu,,,,,,,,3fols. + 3juan,Sacred History and Geography,Hagiographies,,,,,
DZ0449,孝道吳許二真君傳,,,,,,Sacred History and Geography,Hagiographies,,,,,孝道吳許二真君傳,Xiaodao Wu Xu er zhenjun zhuan,,,,,,,,1,Sacred History and Geography,Hagiographies,,,,,
DZ0450,太極葛仙公傳,譚嗣先,青元觀,,,纂,Sacred History and Geography,Hagiographies,,,,,太極葛仙公傳,Taiji Ge xiangong zhuan,譚嗣先,Tan Sixian,纂,,道林,,,1,Sacred History and Geography,Hagiographies,,青元觀,,,
